#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
04932	Non-alcoholic fatty liver disease (NAFLD)	36	2.89e-16	ENSP00000162749,ENSP00000215565,ENSP00000221930,ENSP00000226574,ENSP00000250971,ENSP00000252945,ENSP00000258743,ENSP00000262735,ENSP00000263341,ENSP00000263967,ENSP00000264932,ENSP00000270202,ENSP00000303830,ENSP00000304895,ENSP00000311032,ENSP00000312652,ENSP00000314458,ENSP00000318822,ENSP00000320709,ENSP00000320886,ENSP00000324806,ENSP00000330341,ENSP00000346148,ENSP00000348069,ENSP00000348461,ENSP00000351273,ENSP00000353483,ENSP00000356694,ENSP00000356953,ENSP00000360266,ENSP00000364649,ENSP00000365016,ENSP00000384273,ENSP00000387946,ENSP00000398698,ENSP00000427514	ADIPOQ,AKT1,BID,CASP3,CASP8,CDC42,CEBPA,CYP2E1,FASLG,GSK3B,IL1B,IL6,INS,INSR,IRS1,IRS2,JUN,LEP,MAPK8,MLXIPL,NDUFB7,NFKB1,NR1H3,PIK3CA,PPARA,PRKAA1,RAC1,RELA,SDHA,SDHB,SDHC,SOCS3,SREBF1,TGFB1,TNF,TNFRSF1A
04510	Focal adhesion	42	4.02e-16	ENSP00000222390,ENSP00000222399,ENSP00000225964,ENSP00000227507,ENSP00000228307,ENSP00000251849,ENSP00000257290,ENSP00000260356,ENSP00000263967,ENSP00000265171,ENSP00000268035,ENSP00000270202,ENSP00000275493,ENSP00000282397,ENSP00000283249,ENSP00000288602,ENSP00000302665,ENSP00000304408,ENSP00000305355,ENSP00000309845,ENSP00000314458,ENSP00000317272,ENSP00000324806,ENSP00000329623,ENSP00000330382,ENSP00000339007,ENSP00000341189,ENSP00000344456,ENSP00000346839,ENSP00000348461,ENSP00000350941,ENSP00000353452,ENSP00000353483,ENSP00000360266,ENSP00000361125,ENSP00000362082,ENSP00000378517,ENSP00000384496,ENSP00000384675,ENSP00000391669,ENSP00000400175,ENSP00000401303	AKT1,BCAR1,BCL2,BRAF,CCND1,CCND3,CDC42,COL1A1,COL3A1,CTNNB1,EGF,EGFR,FLT1,FN1,GRB2,GSK3B,HGF,HRAS,IGF1,IGF1R,ITGB6,JUN,LAMB1,MAPK8,MET,MYLK,PDGFB,PDGFRA,PIK3CA,PPP1R12B,PRKCB,PTK2,PXN,RAC1,RAF1,RHOA,SHC1,SOS1,SPP1,SRC,THBS1,VEGFA
04940	Type I diabetes mellitus	20	4.04e-16	ENSP00000216341,ENSP00000226730,ENSP00000229135,ENSP00000229829,ENSP00000231228,ENSP00000250971,ENSP00000263341,ENSP00000264246,ENSP00000303231,ENSP00000332049,ENSP00000339398,ENSP00000353099,ENSP00000356694,ENSP00000364076,ENSP00000365402,ENSP00000382034,ENSP00000393566,ENSP00000398698,ENSP00000403495,ENSP00000408146	CD80,CD86,FASLG,GZMB,HLA-C,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,IFNG,IL12A,IL12B,IL1B,IL2,INS,LTA,TNF
04810	Regulation of actin cytoskeleton	42	1.16e-15	ENSP00000168712,ENSP00000228307,ENSP00000228825,ENSP00000233607,ENSP00000250971,ENSP00000251849,ENSP00000252725,ENSP00000255380,ENSP00000257290,ENSP00000263967,ENSP00000263980,ENSP00000264498,ENSP00000265171,ENSP00000267843,ENSP00000268182,ENSP00000274364,ENSP00000275364,ENSP00000275493,ENSP00000283249,ENSP00000288602,ENSP00000294312,ENSP00000295685,ENSP00000304236,ENSP00000308541,ENSP00000309845,ENSP00000314458,ENSP00000321326,ENSP00000330382,ENSP00000334122,ENSP00000341189,ENSP00000342830,ENSP00000346839,ENSP00000348461,ENSP00000349252,ENSP00000350941,ENSP00000352918,ENSP00000353452,ENSP00000384496,ENSP00000384675,ENSP00000391669,ENSP00000400175,ENSP00000410294	APC2,ARPC1B,ARPC2,ARPC3,ARPC5,BCAR1,BRAF,CD14,CDC42,CHRM3,EGF,EGFR,F2,F2R,FGF19,FGF2,FGF3,FGF4,FGF7,FGFR2,FN1,GNA12,HRAS,INS,IQGAP1,IQGAP2,ITGAL,ITGB6,MYLK,PDGFB,PDGFRA,PIK3CA,PPP1R12B,PTK2,PXN,RAC1,RAF1,RDX,RHOA,SLC9A1,SOS1,SRC
04910	Insulin signaling pathway	33	2.75e-15	ENSP00000216392,ENSP00000219476,ENSP00000225577,ENSP00000250971,ENSP00000251849,ENSP00000263967,ENSP00000270202,ENSP00000288602,ENSP00000292432,ENSP00000298552,ENSP00000303830,ENSP00000304592,ENSP00000304895,ENSP00000307272,ENSP00000309845,ENSP00000319814,ENSP00000324806,ENSP00000329418,ENSP00000330341,ENSP00000339007,ENSP00000340691,ENSP00000344789,ENSP00000346148,ENSP00000348069,ENSP00000353483,ENSP00000354558,ENSP00000364475,ENSP00000365016,ENSP00000368880,ENSP00000369757,ENSP00000384675,ENSP00000401303,ENSP00000425561	ACACA,AKT1,BRAF,EIF4E,EIF4EBP1,FASN,FBP1,FOXO1,GRB2,GSK3B,HK3,HRAS,INS,INSR,IRS1,IRS2,MAPK8,MTOR,PCK1,PIK3CA,PRKAA1,PYGL,RAF1,RPS6,RPS6KB1,RPTOR,SHC1,SOCS1,SOCS3,SOS1,SREBF1,TSC1,TSC2
04672	Intestinal immune network for IgA production	20	4.04e-15	ENSP00000215637,ENSP00000221930,ENSP00000226730,ENSP00000229829,ENSP00000231449,ENSP00000258743,ENSP00000264246,ENSP00000296545,ENSP00000319476,ENSP00000332049,ENSP00000339398,ENSP00000353099,ENSP00000361359,ENSP00000364076,ENSP00000379140,ENSP00000382034,ENSP00000384432,ENSP00000393566,ENSP00000408146,ENSP00000412237	CD40,CD80,CD86,CXCL12,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,ICOS,ICOSLG,IL10,IL15,IL2,IL4,IL6,MADCAM1,TGFB1
05132	Salmonella infection	26	4.78e-15	ENSP00000211287,ENSP00000225245,ENSP00000226574,ENSP00000228825,ENSP00000229135,ENSP00000229794,ENSP00000247470,ENSP00000252725,ENSP00000258743,ENSP00000263341,ENSP00000290219,ENSP00000295685,ENSP00000296871,ENSP00000304236,ENSP00000306245,ENSP00000314458,ENSP00000327251,ENSP00000348461,ENSP00000352918,ENSP00000353483,ENSP00000354159,ENSP00000356713,ENSP00000360266,ENSP00000363089,ENSP00000384273,ENSP00000427279	ARPC1B,ARPC2,ARPC3,ARPC5,CCL3,CD14,CDC42,CSF2,CXCL2,FOS,IFNG,IFNGR1,IFNGR2,IL1B,IL6,JUN,MAPK13,MAPK14,MAPK8,NFKB1,NLRC4,NOS2,PYCARD,RAC1,RELA,TLR4
05210	Colorectal cancer	22	9.22e-15	ENSP00000221930,ENSP00000227507,ENSP00000233607,ENSP00000251849,ENSP00000262160,ENSP00000262320,ENSP00000263967,ENSP00000265165,ENSP00000269305,ENSP00000270202,ENSP00000288602,ENSP00000301633,ENSP00000306245,ENSP00000311032,ENSP00000324806,ENSP00000329623,ENSP00000344456,ENSP00000348461,ENSP00000353483,ENSP00000360266,ENSP00000400175,ENSP00000444972	AKT1,APC2,AXIN1,BCL2,BIRC5,BRAF,CASP3,CCND1,CTNNB1,FOS,GSK3B,JUN,LEF1,MAPK8,PIK3CA,RAC1,RAF1,RHOA,SMAD2,TCF7L2,TGFB1,TP53
05219	Bladder cancer	18	2.42e-14	ENSP00000219070,ENSP00000227507,ENSP00000244741,ENSP00000251849,ENSP00000257904,ENSP00000260356,ENSP00000261769,ENSP00000265171,ENSP00000267163,ENSP00000269305,ENSP00000275493,ENSP00000288602,ENSP00000309845,ENSP00000345571,ENSP00000349547,ENSP00000361125,ENSP00000361405,ENSP00000394932	BRAF,CCND1,CDH1,CDK4,CDKN1A,CDKN2A,E2F1,EGF,EGFR,HRAS,MMP2,MMP9,RAF1,RASSF1,RB1,THBS1,TP53,VEGFA
04920	Adipocytokine signaling pathway	23	4e-14	ENSP00000162749,ENSP00000216797,ENSP00000226574,ENSP00000262735,ENSP00000264657,ENSP00000264708,ENSP00000270202,ENSP00000304895,ENSP00000312189,ENSP00000312652,ENSP00000319814,ENSP00000320709,ENSP00000330341,ENSP00000339787,ENSP00000346148,ENSP00000353483,ENSP00000354558,ENSP00000365016,ENSP00000365435,ENSP00000371067,ENSP00000384273,ENSP00000398698,ENSP00000416293	ACSL4,ADIPOQ,AKT1,CPT1B,IRS1,IRS2,JAK2,LEP,MAPK8,MTOR,NFKB1,NFKBIA,PCK1,POMC,PPARA,PRKAA1,RELA,SLC2A1,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B
05221	Acute myeloid leukemia	21	4.95e-14	ENSP00000225577,ENSP00000226574,ENSP00000227507,ENSP00000251849,ENSP00000254066,ENSP00000255465,ENSP00000263967,ENSP00000264657,ENSP00000265165,ENSP00000270202,ENSP00000288135,ENSP00000288602,ENSP00000309845,ENSP00000311113,ENSP00000339007,ENSP00000340691,ENSP00000354558,ENSP00000384273,ENSP00000384675,ENSP00000427514,ENSP00000444972	AKT1,BRAF,CCNA1,CCND1,CEBPA,EIF4EBP1,GRB2,HRAS,JUP,KIT,LEF1,MTOR,NFKB1,PIK3CA,RAF1,RARA,RELA,RPS6KB1,SOS1,STAT3,TCF7L2
05014	Amyotrophic lateral sclerosis (ALS)	20	7.32e-14	ENSP00000162749,ENSP00000211287,ENSP00000229794,ENSP00000234310,ENSP00000241052,ENSP00000269305,ENSP00000270142,ENSP00000302564,ENSP00000311032,ENSP00000318822,ENSP00000329623,ENSP00000332549,ENSP00000337459,ENSP00000348461,ENSP00000365435,ENSP00000378306,ENSP00000378323,ENSP00000398698,ENSP00000407375,ENSP00000436318	BCL2,BCL2L1,BID,CASP3,CAT,CCS,GPX1,GRIN2A,MAPK13,MAPK14,NOS1,PPP3CA,PPP3CB,PPP3R1,RAC1,SOD1,TNF,TNFRSF1A,TNFRSF1B,TP53
05220	Chronic myeloid leukemia	23	7.81e-14	ENSP00000216797,ENSP00000221930,ENSP00000226574,ENSP00000227507,ENSP00000228872,ENSP00000244741,ENSP00000251849,ENSP00000257904,ENSP00000263967,ENSP00000265734,ENSP00000267163,ENSP00000269305,ENSP00000270202,ENSP00000288602,ENSP00000302564,ENSP00000309845,ENSP00000339007,ENSP00000345571,ENSP00000361423,ENSP00000384273,ENSP00000384675,ENSP00000394932,ENSP00000401303	ABL1,AKT1,BCL2L1,BRAF,CCND1,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,E2F1,GRB2,HRAS,NFKB1,NFKBIA,PIK3CA,RAF1,RB1,RELA,SHC1,SOS1,TGFB1,TP53
04012	ErbB signaling pathway	25	7.89e-14	ENSP00000225577,ENSP00000228872,ENSP00000244741,ENSP00000251849,ENSP00000263967,ENSP00000265171,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000295400,ENSP00000305355,ENSP00000309845,ENSP00000324806,ENSP00000339007,ENSP00000340691,ENSP00000341189,ENSP00000349275,ENSP00000350941,ENSP00000353483,ENSP00000354558,ENSP00000360266,ENSP00000361423,ENSP00000381412,ENSP00000384675,ENSP00000401303	ABL1,AKT1,BRAF,CAMK2A,CDKN1A,CDKN1B,EGF,EGFR,EIF4EBP1,GRB2,GSK3B,HRAS,JUN,MAPK8,MTOR,NRG1,PIK3CA,PRKCB,PTK2,RAF1,RPS6KB1,SHC1,SOS1,SRC,TGFA
04722	Neurotrophin signaling pathway	29	1.07e-13	ENSP00000211287,ENSP00000216797,ENSP00000220751,ENSP00000226574,ENSP00000229794,ENSP00000251849,ENSP00000263967,ENSP00000269305,ENSP00000269321,ENSP00000270202,ENSP00000288602,ENSP00000304895,ENSP00000309845,ENSP00000314458,ENSP00000324806,ENSP00000329623,ENSP00000339007,ENSP00000345492,ENSP00000348461,ENSP00000353483,ENSP00000356694,ENSP00000360266,ENSP00000361423,ENSP00000368884,ENSP00000381412,ENSP00000384273,ENSP00000384675,ENSP00000400175,ENSP00000401303	ABL1,AKT1,ARHGDIA,BCL2,BRAF,CAMK2A,CDC42,FASLG,GRB2,GSK3B,HRAS,IRS1,JUN,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,PIK3CA,RAC1,RAF1,RELA,RHOA,RIPK2,RPS6KA3,SH2B3,SHC1,SOS1,TP53
05169	Epstein-Barr virus infection	37	1.6e-13	ENSP00000211287,ENSP00000216797,ENSP00000226574,ENSP00000228872,ENSP00000229135,ENSP00000229794,ENSP00000244741,ENSP00000248553,ENSP00000255465,ENSP00000261303,ENSP00000263967,ENSP00000264657,ENSP00000264818,ENSP00000264832,ENSP00000267163,ENSP00000269305,ENSP00000270202,ENSP00000274026,ENSP00000274255,ENSP00000324806,ENSP00000329623,ENSP00000339398,ENSP00000349252,ENSP00000353099,ENSP00000353483,ENSP00000360266,ENSP00000361359,ENSP00000364076,ENSP00000364802,ENSP00000365402,ENSP00000369213,ENSP00000382034,ENSP00000384273,ENSP00000386541,ENSP00000393566,ENSP00000408146,ENSP00000412237	AKT1,BCL2,CCNA1,CCNA2,CD40,CDKN1A,CDKN1B,DDX58,GSK3B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,HSPA1A,HSPB1,ICAM1,IFNG,IL10,ITGAL,JUN,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,PIK3CA,PSMC1,PSMD14,RB1,RELA,SKP2,STAT3,TP53,TYK2
04150	mTOR signaling pathway	21	2.2e-13	ENSP00000219476,ENSP00000225577,ENSP00000250971,ENSP00000263967,ENSP00000270202,ENSP00000288602,ENSP00000298552,ENSP00000302665,ENSP00000304895,ENSP00000305355,ENSP00000307272,ENSP00000340691,ENSP00000346148,ENSP00000349959,ENSP00000354558,ENSP00000361125,ENSP00000368884,ENSP00000369757,ENSP00000380313,ENSP00000398698,ENSP00000425561	AKT1,BRAF,EIF4E,EIF4EBP1,IGF1,INS,IRS1,MLST8,MTOR,PIK3CA,PRKAA1,PRKCB,RICTOR,RPS6,RPS6KA3,RPS6KB1,RPTOR,TNF,TSC1,TSC2,VEGFA
04370	VEGF signaling pathway	21	2.2e-13	ENSP00000211287,ENSP00000228307,ENSP00000229794,ENSP00000234310,ENSP00000248553,ENSP00000251849,ENSP00000263967,ENSP00000270202,ENSP00000297494,ENSP00000305355,ENSP00000309845,ENSP00000313681,ENSP00000314458,ENSP00000341189,ENSP00000348461,ENSP00000350941,ENSP00000356436,ENSP00000356438,ENSP00000361125,ENSP00000378306,ENSP00000378323	AKT1,CDC42,HRAS,HSPB1,MAPK13,MAPK14,NOS3,PIK3CA,PLA2G4A,PPP3CA,PPP3CB,PPP3R1,PRKCB,PTGS2,PTK2,PXN,RAC1,RAF1,SPHK1,SRC,VEGFA
05332	Graft-versus-host disease	17	2.2e-13	ENSP00000216341,ENSP00000226730,ENSP00000229135,ENSP00000229829,ENSP00000258743,ENSP00000263341,ENSP00000264246,ENSP00000332049,ENSP00000339398,ENSP00000353099,ENSP00000356694,ENSP00000364076,ENSP00000365402,ENSP00000382034,ENSP00000393566,ENSP00000398698,ENSP00000408146	CD80,CD86,FASLG,GZMB,HLA-C,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,IFNG,IL1B,IL2,IL6,TNF
04115	p53 signaling pathway	22	2.57e-13	ENSP00000219476,ENSP00000223095,ENSP00000227507,ENSP00000244741,ENSP00000251810,ENSP00000256442,ENSP00000257904,ENSP00000260356,ENSP00000262643,ENSP00000265734,ENSP00000269305,ENSP00000278616,ENSP00000302665,ENSP00000311032,ENSP00000314946,ENSP00000318822,ENSP00000340989,ENSP00000351273,ENSP00000353770,ENSP00000362082,ENSP00000372023,ENSP00000394932	ATM,BID,CASP3,CASP8,CCNB1,CCND1,CCND3,CCNE1,CDK4,CDK6,CDKN1A,CDKN2A,CHEK2,IGF1,RPRM,RRM2,RRM2B,SERPINE1,SFN,THBS1,TP53,TSC2
05223	Non-small cell lung cancer	20	3.54e-13	ENSP00000227507,ENSP00000251849,ENSP00000257904,ENSP00000263967,ENSP00000265171,ENSP00000265734,ENSP00000267163,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000295400,ENSP00000305355,ENSP00000309845,ENSP00000339007,ENSP00000342087,ENSP00000345571,ENSP00000349547,ENSP00000384675,ENSP00000394932	AKT1,BRAF,CCND1,CDK4,CDK6,CDKN2A,E2F1,EGF,EGFR,FHIT,GRB2,HRAS,PIK3CA,PRKCB,RAF1,RASSF1,RB1,SOS1,TGFA,TP53
04976	Bile secretion	22	5.02e-13	ENSP00000003084,ENSP00000216540,ENSP00000254227,ENSP00000260600,ENSP00000260645,ENSP00000261693,ENSP00000263817,ENSP00000263980,ENSP00000264938,ENSP00000265723,ENSP00000265724,ENSP00000272167,ENSP00000272286,ENSP00000285379,ENSP00000287936,ENSP00000296327,ENSP00000301645,ENSP00000335292,ENSP00000337915,ENSP00000359478,ENSP00000416293,ENSP00000447149	ABCB1,ABCB11,ABCB4,ABCC2,ABCG5,ABCG8,ADCY3,CA2,CFTR,CYP3A4,CYP7A1,EPHX1,HMGCR,NR0B2,NR1H4,SCARB1,SLC10A1,SLC2A1,SLC51A,SLC51B,SLC9A1,SLC9A3
05416	Viral myocarditis	20	5.16e-13	ENSP00000227507,ENSP00000229829,ENSP00000264246,ENSP00000264832,ENSP00000311032,ENSP00000318822,ENSP00000332049,ENSP00000339398,ENSP00000348461,ENSP00000349252,ENSP00000351273,ENSP00000353099,ENSP00000354923,ENSP00000361359,ENSP00000361423,ENSP00000364076,ENSP00000365402,ENSP00000382034,ENSP00000393566,ENSP00000408146	ABL1,BID,CASP3,CASP8,CCND1,CD40,CD80,CD86,DMD,HLA-C,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,ICAM1,ITGAL,RAC1
05320	Autoimmune thyroid disease	19	5.33e-13	ENSP00000216341,ENSP00000226730,ENSP00000229829,ENSP00000231449,ENSP00000264246,ENSP00000276927,ENSP00000303939,ENSP00000332049,ENSP00000339398,ENSP00000353099,ENSP00000356694,ENSP00000361359,ENSP00000364076,ENSP00000365402,ENSP00000369554,ENSP00000382034,ENSP00000393566,ENSP00000408146,ENSP00000412237	CD40,CD80,CD86,CTLA4,FASLG,GZMB,HLA-C,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,IFNA1,IFNA2,IL10,IL2,IL4
04621	NOD-like receptor signaling pathway	20	7.43e-13	ENSP00000211287,ENSP00000216797,ENSP00000220751,ENSP00000225831,ENSP00000226574,ENSP00000229794,ENSP00000247470,ENSP00000258743,ENSP00000263341,ENSP00000300589,ENSP00000335153,ENSP00000337383,ENSP00000351273,ENSP00000353483,ENSP00000354159,ENSP00000360797,ENSP00000367208,ENSP00000384273,ENSP00000398698,ENSP00000427279	CARD9,CASP8,CCL2,CXCL2,HSP90AA1,IL1B,IL6,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,NLRC4,NLRP3,NOD2,PYCARD,RELA,RIPK2,SUGT1,TNF
05211	Renal cell carcinoma	21	1.25e-12	ENSP00000216225,ENSP00000221930,ENSP00000222390,ENSP00000251849,ENSP00000263967,ENSP00000270202,ENSP00000288602,ENSP00000295400,ENSP00000309845,ENSP00000314458,ENSP00000317272,ENSP00000330382,ENSP00000339007,ENSP00000348461,ENSP00000351407,ENSP00000360266,ENSP00000361125,ENSP00000376436,ENSP00000384675,ENSP00000416293,ENSP00000444856	AKT1,ARNT,BRAF,CDC42,CUL2,ETS1,GRB2,HGF,HRAS,JUN,MET,PDGFB,PIK3CA,RAC1,RAF1,RBX1,SLC2A1,SOS1,TGFA,TGFB1,VEGFA
05144	Malaria	18	1.88e-12	ENSP00000221930,ENSP00000222390,ENSP00000225474,ENSP00000225831,ENSP00000229135,ENSP00000258743,ENSP00000260356,ENSP00000263341,ENSP00000263645,ENSP00000264832,ENSP00000294728,ENSP00000303231,ENSP00000317272,ENSP00000349252,ENSP00000361359,ENSP00000363089,ENSP00000398698,ENSP00000412237	CCL2,CD40,CD81,CSF3,HGF,ICAM1,IFNG,IL10,IL12A,IL1B,IL6,ITGAL,MET,TGFB1,THBS1,TLR4,TNF,VCAM1
05203	Viral carcinogenesis	34	5e-12	ENSP00000080059,ENSP00000216797,ENSP00000226574,ENSP00000227507,ENSP00000228307,ENSP00000228872,ENSP00000244741,ENSP00000255465,ENSP00000257904,ENSP00000261303,ENSP00000262643,ENSP00000263967,ENSP00000264657,ENSP00000265734,ENSP00000267163,ENSP00000269305,ENSP00000274026,ENSP00000274255,ENSP00000292303,ENSP00000309845,ENSP00000311032,ENSP00000314458,ENSP00000320171,ENSP00000332659,ENSP00000339007,ENSP00000348461,ENSP00000350941,ENSP00000351273,ENSP00000360266,ENSP00000362082,ENSP00000365402,ENSP00000384273,ENSP00000394932,ENSP00000400175	CASP3,CASP8,CCNA1,CCNA2,CCND1,CCND3,CCNE1,CCR4,CCR5,CDC42,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,GRB2,HDAC7,HLA-C,HRAS,JUN,NFKB1,NFKBIA,PIK3CA,PKM,PSMC1,PXN,RAC1,RB1,RELA,RHOA,SKP2,SRC,STAT3,TP53
05133	Pertussis	21	6.3e-12	ENSP00000211287,ENSP00000223642,ENSP00000226574,ENSP00000229794,ENSP00000231228,ENSP00000247470,ENSP00000258743,ENSP00000263341,ENSP00000303231,ENSP00000304236,ENSP00000306245,ENSP00000311032,ENSP00000327251,ENSP00000337383,ENSP00000353483,ENSP00000360266,ENSP00000363089,ENSP00000384273,ENSP00000398698,ENSP00000400175,ENSP00000412237	C5,CASP3,CD14,FOS,IL10,IL12A,IL12B,IL1B,IL6,JUN,MAPK13,MAPK14,MAPK8,NFKB1,NLRP3,NOS2,PYCARD,RELA,RHOA,TLR4,TNF
05213	Endometrial cancer	18	9.68e-12	ENSP00000227507,ENSP00000233607,ENSP00000251849,ENSP00000261769,ENSP00000262320,ENSP00000263967,ENSP00000265165,ENSP00000265171,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000309845,ENSP00000324806,ENSP00000339007,ENSP00000344456,ENSP00000384675,ENSP00000444972	AKT1,APC2,AXIN1,BRAF,CCND1,CDH1,CTNNB1,EGF,EGFR,GRB2,GSK3B,HRAS,LEF1,PIK3CA,RAF1,SOS1,TCF7L2,TP53
05146	Amoebiasis	25	1.64e-11	ENSP00000221930,ENSP00000222399,ENSP00000225964,ENSP00000226574,ENSP00000229135,ENSP00000231228,ENSP00000248553,ENSP00000258743,ENSP00000263341,ENSP00000263408,ENSP00000263967,ENSP00000296871,ENSP00000303231,ENSP00000304236,ENSP00000304408,ENSP00000305355,ENSP00000311032,ENSP00000327251,ENSP00000330959,ENSP00000341189,ENSP00000346839,ENSP00000363089,ENSP00000384273,ENSP00000398698,ENSP00000412237	C9,CASP3,CD14,COL1A1,COL3A1,CSF2,FN1,HSPB1,IFNG,IL10,IL12A,IL12B,IL1B,IL1R2,IL6,LAMB1,NFKB1,NOS2,PIK3CA,PRKCB,PTK2,RELA,TGFB1,TLR4,TNF
04064	NF-kappa B signaling pathway	23	1.8e-11	ENSP00000162749,ENSP00000216797,ENSP00000226574,ENSP00000263341,ENSP00000264832,ENSP00000278616,ENSP00000294728,ENSP00000302564,ENSP00000304236,ENSP00000305355,ENSP00000329623,ENSP00000355759,ENSP00000356438,ENSP00000361359,ENSP00000361850,ENSP00000363089,ENSP00000369213,ENSP00000378845,ENSP00000379140,ENSP00000384273,ENSP00000398698,ENSP00000403495,ENSP00000427279	ATM,BCL2,BCL2L1,CD14,CD40,CXCL12,CXCL2,DDX58,ICAM1,IL1B,LAT,LTA,NFKB1,NFKBIA,PARP1,PLAU,PRKCB,PTGS2,RELA,TLR4,TNF,TNFRSF1A,VCAM1
05202	Transcriptional misregulation in cancer	31	3.89e-11	ENSP00000216341,ENSP00000225275,ENSP00000226574,ENSP00000228872,ENSP00000244741,ENSP00000254066,ENSP00000255465,ENSP00000258743,ENSP00000265741,ENSP00000268035,ENSP00000269305,ENSP00000278616,ENSP00000282397,ENSP00000287820,ENSP00000296871,ENSP00000302564,ENSP00000302665,ENSP00000304236,ENSP00000305422,ENSP00000311113,ENSP00000317272,ENSP00000330959,ENSP00000332049,ENSP00000337088,ENSP00000341189,ENSP00000361359,ENSP00000361405,ENSP00000361850,ENSP00000368880,ENSP00000384273,ENSP00000427514	ATM,BCL2L1,CCNA1,CD14,CD40,CD86,CDK14,CDKN1A,CDKN1B,CEBPA,CEBPB,CSF2,FLT1,FOXO1,GZMB,IGF1,IGF1R,IL1R2,IL6,JUP,MEN1,MET,MMP9,MPO,NFKB1,PLAU,PPARG,PTK2,RARA,RELA,TP53
05222	Small cell lung cancer	22	4.89e-11	ENSP00000216797,ENSP00000222399,ENSP00000226574,ENSP00000227507,ENSP00000228872,ENSP00000257904,ENSP00000262643,ENSP00000263967,ENSP00000265734,ENSP00000267163,ENSP00000269305,ENSP00000270202,ENSP00000274255,ENSP00000302564,ENSP00000327251,ENSP00000329623,ENSP00000341189,ENSP00000342087,ENSP00000345571,ENSP00000346839,ENSP00000356438,ENSP00000384273	AKT1,BCL2,BCL2L1,CCND1,CCNE1,CDK4,CDK6,CDKN1B,E2F1,FHIT,FN1,LAMB1,NFKB1,NFKBIA,NOS2,PIK3CA,PTGS2,PTK2,RB1,RELA,SKP2,TP53
04210	Apoptosis	21	3.68e-10	ENSP00000162749,ENSP00000216797,ENSP00000226574,ENSP00000234310,ENSP00000241261,ENSP00000263341,ENSP00000263967,ENSP00000269305,ENSP00000270202,ENSP00000278616,ENSP00000302564,ENSP00000311032,ENSP00000314807,ENSP00000318822,ENSP00000329623,ENSP00000351273,ENSP00000356694,ENSP00000378306,ENSP00000378323,ENSP00000384273,ENSP00000398698	AKT1,ATM,BCL2,BCL2L1,BID,CASP3,CASP8,FASLG,IL1B,IL1RAP,NFKB1,NFKBIA,PIK3CA,PPP3CA,PPP3CB,PPP3R1,RELA,TNF,TNFRSF1A,TNFSF10,TP53
04662	B cell receptor signaling pathway	19	4.64e-10	ENSP00000216797,ENSP00000226574,ENSP00000234310,ENSP00000251849,ENSP00000263645,ENSP00000263967,ENSP00000270202,ENSP00000305355,ENSP00000306245,ENSP00000309845,ENSP00000324806,ENSP00000339007,ENSP00000348461,ENSP00000360266,ENSP00000376544,ENSP00000378306,ENSP00000378323,ENSP00000384273,ENSP00000384675	AKT1,CD79B,CD81,FOS,GRB2,GSK3B,HRAS,JUN,NFKB1,NFKBIA,PIK3CA,PPP3CA,PPP3CB,PPP3R1,PRKCB,RAC1,RAF1,RELA,SOS1
03050	Proteasome	15	1.02e-09	ENSP00000044462,ENSP00000216455,ENSP00000225426,ENSP00000229135,ENSP00000259457,ENSP00000261303,ENSP00000261479,ENSP00000262193,ENSP00000271308,ENSP00000290541,ENSP00000351314,ENSP00000359910,ENSP00000362334,ENSP00000386541,ENSP00000455744	HC3,IFNG,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB10,PSMB2,PSMB3,PSMB4,PSMB7,PSMC1,PSMD14
