node1,node2,combined_score
ALDOB,GCK,0.929
IGF2,MMP2,0.929
IKBKG,CDC37,0.929
FGF13,FLT1,0.929
SRC,STAT6,0.929
JUN,IRS1,0.929
ETS1,HIF1A,0.929
CYP1A2,CYP2E1,0.929
MET,RB1,0.929
COPS5,MIF,0.929
CXCL12,CCR6,0.929
FOS,FGF2,0.929
JUN,APOA1,0.929
F2,ESR1,0.929
ADH7,CYP26A1,0.929
IGF2,TIMP1,0.929
CYP3A4,CES2,0.929
CYP1A2,CYP2C9,0.929
CEBPB,RB1,0.929
MAPK8,TNFRSF10A,0.929
IL3,AKT1,0.929
ALDH1A1,CYP2C9,0.929
SERPINA1,TGFB1,0.929
HSD17B6,ALDH1A2,0.929
HRAS,HBEGF,0.929
NOTCH1,IL4,0.929
FOXM1,AKT1,0.929
GSK3B,APC2,0.929
PIK3CA,RAF1,0.929
ERBB4,STAT3,0.929
MMP9,STAT3,0.929
CEBPB,LBP,0.929
PRKAA1,LEP,0.929
BCL2,MMP2,0.929
BIRC5,SGOL1,0.929
F5,FGA,0.929
ARNT,ADM,0.929
RAC1,STK11,0.929
NOTCH1,HDAC7,0.929
CYP3A4,CYP7A1,0.929
NFKBIA,TNFRSF1A,0.929
GCG,PTHLH,0.929
A2M,SERPINE1,0.929
ITGAM,IL8,0.928
MMP1,IL6,0.928
COMT,ADH1B,0.928
BCL2L1,IL6,0.928
TAC1,FOS,0.928
LEP,GHR,0.928
INS,SIRT1,0.928
RB1,CDK14,0.928
EGF,HBEGF,0.928
RASSF1,TP53,0.928
SNCA,LTF,0.928
EGFR,IL6,0.928
AR,FOS,0.928
VCAM1,IL1B,0.928
MYC,EGR1,0.928
CDH1,TGFB1,0.928
IL17A,IL1B,0.928
RARA,CYP26A1,0.928
BMP7,GREM1,0.928
IL1B,IL4,0.928
NFKB1,MMP2,0.928
TP53,CAT,0.928
AR,MAPK14,0.928
DDX58,NOD2,0.928
GPC1,SMAD2,0.928
FOS,BCL2L1,0.928
CYP1A1,ESR1,0.928
MYC,IL6,0.928
NR1H3,MED1,0.928
IL1B,IL2,0.928
CYP2C9,CYP26A1,0.928
COL4A1,COL1A1,0.928
COPS5,FOS,0.928
HK3,SORD,0.928
FGF13,AKT1,0.928
PPARA,FGF21,0.928
THBS1,TGFB1,0.928
IL6,HMOX1,0.928
SSTR3,POMC,0.928
MYC,IL3,0.928
TYK2,NFKBIA,0.928
MAPK8,IL18,0.928
GH1,STAT3,0.928
BRCA1,AR,0.928
ICAM1,IL1A,0.928
SFN,KSR1,0.928
HMGCR,INS,0.928
IL1A,TGFB1,0.928
HSD3B7,CYP27A1,0.928
IL10,CCL2,0.928
CYP17A1,CYP3A4,0.928
ABL1,MAPK14,0.928
CCNE1,CCND1,0.928
STAT4,IL23R,0.928
ADH7,COMT,0.928
MMP1,IL1B,0.928
PTPRC,IL6,0.928
TALDO1,PKM,0.928
JUN,LIF,0.928
GSTP1,TP53,0.928
CDH1,APC2,0.928
EDN1,VEGFA,0.928
EDN1,GAPDH,0.928
PLAU,SRC,0.928
AR,IGF1,0.928
PRKCA,PRKCE,0.927
SMAD4,MEN1,0.927
ALDH1B1,MAOA,0.927
STAT4,RIPK2,0.927
NOS3,FGF2,0.927
JUND,TIMP1,0.927
ARNT,HEY1,0.927
GNAS,ESR1,0.927
TYK2,IL12B,0.927
CEBPD,SREBF2,0.927
E2F1,ESR1,0.927
IL12RB1,IL4,0.927
CXCL12,FPR2,0.927
EGF,SERPINE1,0.927
JUN,HNF4A,0.927
NOS3,MMP2,0.927
TP53,THBS1,0.927
VEGFA,F5,0.927
GSTA2,GPX3,0.927
STAT4,IL18,0.927
BRCA2,SMAD3,0.927
CXCL12,KNG1,0.927
CYCS,SDHA,0.927
CD247,CD80,0.927
JUN,IRF5,0.927
CTNNB1,ID2,0.927
TERT,IL2,0.927
SERPINA1,CEBPB,0.927
IRS1,IL6,0.927
AR,CDC37,0.927
MAF,IL13,0.927
IL2,TGFB1,0.927
XPA,SIRT1,0.927
PEX19,PEX26,0.927
HSD17B4,PPARA,0.927
GPX1,TXN,0.927
CAST,PTK2,0.927
DDIT3,JUN,0.927
GPX1,ABL1,0.927
AVP,PTGIR,0.927
CD44,COL1A1,0.927
HIF1A,CP,0.927
HSPA9,AKT1,0.927
ITGAM,PLAU,0.927
ADAM17,TGFA,0.927
STAT3,IL12B,0.927
IFNB1,IRF5,0.927
CXCL2,CCL2,0.927
JAK2,HBEGF,0.927
SMAD4,ZMIZ1,0.927
NR1H3,SIRT1,0.927
BRCA1,E2F1,0.927
GSTA1,CYP2A6,0.927
DMD,RAC1,0.927
IL2RA,STAT1,0.927
BCAR1,VEGFA,0.927
JAK2,PDGFB,0.927
CASP3,HSPB1,0.927
IL6,ESR1,0.927
NFKB1,ESR1,0.926
PLAU,NFKB1,0.926
PLAU,EGFR,0.926
AGT,RAF1,0.926
ADH1B,ALDH2,0.926
MAF,STAT6,0.926
SRC,FLT1,0.926
ICAM1,MMP2,0.926
SPHK1,PDGFRB,0.926
HNF4A,PPARA,0.926
SOCS3,SOCS1,0.926
EGFR,MAPK14,0.926
IL2,NFKB1,0.926
AR,RNF6,0.926
BCAR1,IGF1,0.926
IL1B,IL1RN,0.926
TYMS,CCNE1,0.926
EDN1,CTGF,0.926
GCG,LPL,0.926
ERBB3,CCND1,0.926
E2F1,AKT1,0.926
SOCS1,IL6,0.926
MYC,AR,0.926
PRKDC,RAG2,0.926
CXCL2,CCR1,0.926
JUN,ABCB1,0.926
VEGFA,HRAS,0.926
PLA2G4A,ALOX15,0.926
CYP1A2,CYP2A6,0.926
BID,TNFSF10,0.926
BCL2A1,JUND,0.926
EDN1,TGFB1,0.926
MAPK8,CCND1,0.926
IL12B,CCL3,0.926
IL8,TIMP1,0.926
BCAR1,PIK3CA,0.926
ALB,KDR,0.926
ILK,CDH1,0.926
GSTP1,GSTA1,0.926
CYP1A1,CYP2E1,0.926
CD44,IRF2,0.926
NLRP3,IL1B,0.926
ERBB2,INS,0.926
VEGFA,CCL2,0.926
VCAM1,IL4,0.926
CYP2A6,CYP26A1,0.926
MMP9,FLT1,0.926
FOSL2,MAPK13,0.926
ADIPOQ,LPL,0.926
MEN1,WT1,0.926
STAT1,OSM,0.926
STAT4,IL12B,0.926
ERAP2,PDIA3,0.926
RAC1,NOS3,0.926
BIRC5,CDKN1A,0.926
MMP9,CCL2,0.926
NT5E,UMPS,0.926
ITGAM,AGER,0.926
VCAM1,INS,0.926
IL10,HMOX1,0.926
F5,TGFB1,0.925
PTHLH,POMC,0.925
ARID1A,HIC1,0.925
CYCS,NDUFB7,0.925
BCAR1,CXCL12,0.925
LEP,NOS3,0.925
IGF2,SERPINE1,0.925
TRPM7,ANXA1,0.925
A2M,KNG1,0.925
OPRM1,KNG1,0.925
TRPV1,EGFR,0.925
MUC1,PPARG,0.925
CTNNB1,BCL2,0.925
MAOA,ADH1B,0.925
ENO3,PCK1,0.925
CNR2,KNG1,0.925
ARNT,SERPINE1,0.925
IFNA2,SOCS1,0.925
SFN,TSC1,0.925
GSTA2,CYP2A6,0.925
ALB,ABCC3,0.925
UBE2L3,SNCA,0.925
SNAI1,MMP2,0.925
IL21,IL5,0.925
TRPV1,SRC,0.925
BCL2,NOTCH1,0.925
LPL,GPC1,0.925
GH1,IRS1,0.925
MYC,FGF2,0.925
MYC,TGFB1,0.925
GSK3B,PIK3CA,0.925
JAK2,CCL2,0.925
AKT1,SLC9A1,0.925
CXCL12,SST,0.925
LPL,MED1,0.925
IL18RAP,NFKB1,0.925
HEY2,HIF1A,0.925
PDX1,SLC2A2,0.925
PDGFB,FLT1,0.925
AKR1B10,SORD,0.925
BID,BIRC3,0.925
EDN1,HRAS,0.925
PTK2,KDR,0.925
TLR4,IL4,0.925
IKZF1,NOTCH1,0.925
IL2RA,GZMB,0.925
IRF2,ICAM1,0.925
CD247,IFNG,0.925
COMT,AHCY,0.925
BCL2,BCL2A1,0.925
MMP9,VTN,0.925
IL17A,IL8,0.925
MED1,NR0B2,0.925
CYR61,MMP1,0.925
ETS1,AR,0.925
JAK2,GZMB,0.924
E2F1,CDKN1B,0.924
IRS2,MTOR,0.924
DMD,TPM4,0.924
PTEN,NDRG1,0.924
MMP1,MMP2,0.924
RIT1,BRAF,0.924
GCG,TRIO,0.924
ITLN1,NAMPT,0.924
HSD3B2,CYP2E1,0.924
KLF5,TGFB1,0.924
IFNB1,TYK2,0.924
IL13,IL6,0.924
CXCL12,IL6,0.924
EDN1,MMP2,0.924
PIK3CA,NFKBIA,0.924
MCL1,TNFSF10,0.924
PRKACB,PRKCE,0.924
COL4A2,COL3A1,0.924
PTEN,BAX,0.924
SRC,EGR1,0.924
PPARA,ESR1,0.924
PRKACB,NFKB1,0.924
CDKN2A,PEX19,0.924
GSTA2,JUN,0.924
PPARG,NR1H2,0.924
STAT3,FGF2,0.924
GNG8,ADCY3,0.924
F2,AKT1,0.924
FASN,AKT1,0.924
CEBPA,MED1,0.924
RELA,ACTB,0.924
LEP,IAPP,0.924
SREBF2,INS,0.923
GCG,EDN3,0.923
MTTP,INS,0.923
ADH4,CYP26A1,0.923
IRF2,EGR1,0.923
RAC1,TYROBP,0.923
BAX,NFKB1,0.923
INS,TSC2,0.923
CSF2,IFNA1,0.923
DNMT3B,AHCY,0.923
NPPA,FOS,0.923
PARK7,BAX,0.923
RGS14,HRAS,0.923
VEGFA,KRAS,0.923
AKT1,SERPINE1,0.923
GSK3B,NOTCH2,0.923
ECM1,EFEMP1,0.923
STAT6,IL12RB2,0.923
AGT,IL6,0.923
PCK1,MED1,0.923
CXCL12,CSF3,0.923
CXCL12,RAF1,0.923
FCGR2A,APCS,0.923
FOS,RAF1,0.923
IRS1,STAT3,0.923
LEP,ESR1,0.923
ACTB,HCFC1,0.923
OCLN,SNAI1,0.923
EDN1,EDN3,0.923
SOCS3,GH1,0.923
PPARG,TP53,0.923
JUN,IGF1,0.923
NR1H3,JUN,0.923
JUN,CCR5,0.923
IL10,MMP9,0.923
CXCL2,CCR5,0.923
MMP8,MMP2,0.923
TXN,ALB,0.923
GAPDH,IL2,0.923
BBC3,SNAI2,0.923
MAPK8,ABCB1,0.923
IL6,CCND1,0.923
ALB,CTSD,0.923
EDN1,IL8,0.923
TGM2,ATM,0.923
EDN1,LEP,0.923
FOXM1,SIRT1,0.923
IGF1R,RAF1,0.923
BCL2L11,CASP3,0.923
IL10,SOCS3,0.923
CCK,ALB,0.923
CD44,CDH1,0.923
IL6,NAMPT,0.923
SFN,CDKN1B,0.923
AR,IL6,0.923
F5,SPARC,0.923
CYP1A1,CYP2C9,0.923
RAC1,ARPC2,0.923
IL23R,TYK2,0.923
SREBF2,APOB,0.923
IL27,IFNG,0.923
LAT,CD244,0.923
IL13,CSF2,0.923
IL10,BCL2,0.923
CTGF,SMAD4,0.923
MEN1,SST,0.923
IFNGR1,SOCS3,0.923
MMP9,INS,0.923
STAT3,IL11,0.923
CD247,CD86,0.923
IRF2,TLR9,0.923
PRDM1,BACH2,0.923
ITPA,UMPS,0.923
INS,FGF21,0.923
GSTA2,GSTP1,0.923
ITPA,PKM,0.923
IRF2,VCAM1,0.923
VEGFA,VCAM1,0.923
ICAM1,TGFB1,0.923
PTK2,COL3A1,0.923
TLR9,IL6,0.923
SRC,IL8,0.923
SRSF5,TNPO3,0.923
PRKCA,SPHK1,0.922
PTEN,XIAP,0.922
MAT1A,DNMT3A,0.922
IL18R1,NFKB1,0.922
MMP9,ERBB2,0.922
JAK2,CCR2,0.922
VEGFB,IGF1,0.922
FOS,IFNG,0.922
FN1,PTK2,0.922
HNF4A,PPARG,0.922
GOT1,CDO1,0.922
LTB4R,KNG1,0.922
TH,PARK7,0.922
JAK2,MYC,0.922
MCL1,BCL2A1,0.922
IGF2,F2,0.922
RB1,HES1,0.922
IL10,SMAD4,0.922
ABCD3,PEX14,0.922
ETFA,CYCS,0.922
GCG,AKT1,0.922
JUN,F2,0.922
MTOR,LEP,0.922
VEGFA,HDAC7,0.922
ACSL4,CPT1B,0.922
GNAS,F2,0.922
FOS,IGF1,0.922
GSK3B,NOTCH3,0.922
PTGIR,ADM,0.922
CXCL1,POMC,0.922
RAD51B,BRCA2,0.922
CYP1A1,CYP2A6,0.922
IL12A,IFNGR2,0.922
CYP1A1,HSD17B2,0.922
RAF1,CCND1,0.922
PRKCE,ADCY3,0.922
ETS1,IL5,0.922
FGF2,CCND1,0.922
MMP9,HGF,0.922
CYP7A1,MED1,0.922
RELA,TLR4,0.922
ALDH1B1,AKR1B10,0.922
GNAS,ADCY3,0.922
ADH7,MAOA,0.922
IL12RB1,STAT6,0.922
SPP1,ILK,0.922
IFNB1,JUN,0.922
FECH,CP,0.922
MAOA,ADH4,0.922
IGF2,ACTB,0.922
TGFBR2,OCLN,0.922
STAT3,MMP2,0.922
RELA,TYK2,0.922
STAT3,CDH1,0.921
GSTP1,GSTM1,0.921
IL1B,TIMP1,0.921
RAC1,PDGFB,0.921
TH,GOT1,0.921
TJP2,JUN,0.921
SNAI1,TGFB1,0.921
PDGFRB,RAF1,0.921
TFF3,CTNNB1,0.921
ICAM1,STAT3,0.921
PTHLH,IAPP,0.921
HSPB1,SIRT1,0.921
CXCL12,CNR1,0.921
GSTA2,FOS,0.921
PSMB10,HSPB1,0.921
PDGFB,TGFB1,0.921
FGF19,FGF4,0.921
NOTCH1,EFNB2,0.921
GSTP1,ADH4,0.921
IGF1,CCND1,0.921
BCL2L1,ERBB2,0.921
JAK2,IL12B,0.921
BCL2L1,INS,0.921
HLA-DRB1,ICAM1,0.921
CASP3,BCL2L1,0.921
MYLK,PTK2,0.921
CD40,NOTCH1,0.921
MAPK8,HGF,0.921
FN1,IGF1,0.921
IL13,IL2,0.921
TFF3,STAT6,0.921
MAPK8,RASSF1,0.921
CXCL12,PPARA,0.921
VEGFA,MMP1,0.921
MMP9,SNAI1,0.921
IL10,TIMP1,0.921
IFNA2,SOCS3,0.921
MYC,NR0B2,0.921
RELA,IFNG,0.921
ABL1,ACTB,0.921
HIF1A,ABCB1,0.921
PPARD,NR0B2,0.921
ADIPOQ,TGFB1,0.921
ITGAM,IL3,0.921
TH,MAPK14,0.921
CXCL12,ARNT,0.921
CUL2,ARID1B,0.921
FOXA1,CDKN1B,0.921
RAC1,MMP1,0.921
BCL2L11,SIRT1,0.921
BCAR1,HGF,0.921
MAPK8,KIT,0.92
SPP1,PDGFB,0.92
F2,CCR5,0.92
IGF2,FN1,0.92
CYP1A2,ALDH1A1,0.92
SOD1,ESR1,0.92
CCR6,IL8,0.92
PRKCA,ICAM1,0.92
ADH7,GSTM1,0.92
LIF,HBEGF,0.92
HSD3B2,CYP3A4,0.92
MCL1,EGFR,0.92
CYP3A4,EPHX1,0.92
EDNRB,LTB4R,0.92
AR,PPARA,0.92
RAC1,NOD2,0.92
EDNRB,CCK,0.92
AR,PPARG,0.92
PTEN,CTNNB1,0.92
CYP17A1,CYP2E1,0.92
IRS2,HRAS,0.92
PRKCE,RAF1,0.92
BID,CYCS,0.92
CXCR2,KNG1,0.92
CYP17A1,INS,0.92
CCK,F2R,0.92
IL12A,TYK2,0.92
ALDH1L1,MTR,0.92
MAPK8,SMAD4,0.92
ITPA,NME1,0.92
TGM2,NFKBIA,0.92
MED1,NR1H2,0.92
FGF7,FGF2,0.92
IL18RAP,IL18R1,0.92
PTPRC,KIT,0.92
JUN,LBP,0.92
MTOR,PDIA3,0.92
PRKCD,NOS3,0.92
CYP1A1,CYP17A1,0.92
SERPINA1,IGF1,0.92
CXCL2,CXCR5,0.92
NR1H3,RELA,0.92
RELA,IL18,0.92
HIF1A,GCK,0.92
ARNT,SIRT1,0.92
PTGS2,HPGDS,0.92
NCF4,VCAM1,0.92
IL12B,NFKB1,0.92
ETS1,NFKB1,0.92
FHIT,CDKN1A,0.92
MYC,KIT,0.92
EPO,NFKB1,0.92
HPSE,FGF2,0.92
GPC3,LPL,0.92
BCL2L11,FOS,0.92
IL12RB1,IL1B,0.92
RORC,NR1H2,0.919
EPO,MAPK14,0.919
CYP17A1,CYP1A2,0.919
IRS2,KRAS,0.919
COMMD1,CFTR,0.919
IL12RB1,SOCS3,0.919
STAT4,IL18R1,0.919
COL4A2,COL1A1,0.919
NRG1,AKT1,0.919
LEPR,TYK2,0.919
NOTCH1,STAT3,0.919
PNPT1,PKM,0.919
MAOA,CYP3A4,0.919
IGF2,IGF1,0.919
EGFR,EGR1,0.919
JAK2,NOS2,0.919
JUN,IL18R1,0.919
NCF4,MAPK13,0.919
ERBB2,IQGAP1,0.919
CD44,IQGAP1,0.919
ATM,CCND1,0.919
GRK5,F2R,0.919
CD40,FAS,0.919
HNF4A,NR1H2,0.919
PEX5,SCARB1,0.919
NDRG1,CDH1,0.919
AKT1,AXIN1,0.919
CCK,ANXA1,0.919
ADIPOQ,CEBPB,0.919
CXCL2,POMC,0.919
GDNF,NRTN,0.919
JAK2,IL27,0.919
NOTCH1,ERBB3,0.919
HLA-C,IRF5,0.919
GDNF,CDH1,0.918
EDNRB,MAPK14,0.918
CD3D,IL2,0.918
IL8,CXCR5,0.918
E2F1,TYMS,0.918
NOS2,IL12A,0.918
STAT4,IL18RAP,0.918
FN1,IGF1R,0.918
DNMT3A,AHCY,0.918
STK11,KRAS,0.918
RELA,MAPK8,0.918
SPHK1,AKT1,0.918
PLAU,JUND,0.918
FOS,LBP,0.918
NT5E,TYMP,0.918
CCR6,CXCR5,0.918
GRIN2A,HRAS,0.918
IL12RB2,IL4,0.918
F2R,TAC1,0.918
RELA,IL17A,0.918
AGT,HRAS,0.918
NKX2-3,MADCAM1,0.918
TAC1,AGTR1,0.918
VEGFB,SERPINE1,0.918
MAPK8,MAPK14,0.918
AGT,CCK,0.918
HSPA5,APOB,0.918
PTEN,PLCE1,0.918
ALB,APOE,0.918
CNR1,IL8,0.918
AGT,EDN3,0.918
SERPINA1,FOXA1,0.918
BMP7,SMAD3,0.918
CYR61,MMP13,0.918
SERPINA1,SERPINE1,0.918
ARNT,GCK,0.918
STAT1,CYLD,0.918
PKM,RRM1,0.918
TYK2,IL1B,0.918
MAOB,CYP3A4,0.918
HIF1A,EGFR,0.918
OPRM1,GRK5,0.918
SLC11A2,HAMP,0.918
A2M,LEP,0.918
MAOB,ADH1B,0.918
CDKN2A,CEBPB,0.918
IRF2,IRF5,0.918
GHRL,UCP2,0.918
PDX1,MAPK14,0.918
BTC,ERBB4,0.918
AKT1,SMAD2,0.918
GABRB1,GABRA1,0.918
MET,FGF2,0.918
VEGFA,SERPINA1,0.918
CEBPB,MED1,0.917
ARNT,LEP,0.917
KNG1,ANXA1,0.917
CXCL12,CNR2,0.917
STAT1,IL23R,0.917
CXCR2,CCR1,0.917
TP53,PYCARD,0.917
JUN,HES1,0.917
CD44,IGF2,0.917
AGER,NFKB1,0.917
CCR1,KNG1,0.917
CCR1,CXCR1,0.917
IL1B,IL12RB2,0.917
SPIB,POU2AF1,0.917
FGF2,FGF4,0.917
BCAR1,FLT1,0.917
MMP9,JUND,0.917
EDN1,COL3A1,0.917
GCG,ADCY3,0.917
ETS1,IL4,0.917
ABCB11,SLC10A1,0.917
IAPP,APOA1,0.917
RB1,PPARA,0.917
HLA-DRB1,IFNG,0.917
CYP7A1,FGF21,0.917
MAPK8,SERPINB3,0.917
FASLG,FOS,0.917
SULT1E1,HSD17B2,0.917
PTEN,SMAD3,0.917
GREM1,FGF4,0.917
DPYD,SDHA,0.917
FOS,IL12RB2,0.917
LSP1,MAPK14,0.917
PRKCA,SFN,0.917
GPC1,APOE,0.917
ADORA2A,POMC,0.917
ARNT,CDKN1A,0.917
APOB,MAPK14,0.917
HIF1A,IGFBP1,0.917
ADIPOQ,MED1,0.917
IL12RB1,NOS2,0.917
CXCL1,CXCR5,0.917
STAT4,IL13,0.917
SOCS3,HRAS,0.917
IGF2,SPARC,0.917
CYP2A6,TYMP,0.917
STAT6,IL12B,0.917
IL17A,NFKBIA,0.917
FN1,A2M,0.917
RAC1,APC,0.917
CNR1,SSTR2,0.917
MUC2,IFNGR1,0.917
MAPK8,EPO,0.917
IL24,JAK2,0.917
RELA,SOD2,0.917
EDN3,AGTR1,0.917
OPRM1,STAT6,0.917
NOTCH1,SNAI2,0.917
RELA,IFNB1,0.917
MCL1,E2F1,0.917
ITGAM,CTGF,0.917
HRAS,PDGFRA,0.917
NOS1,NOS2,0.917
GDNF,CTNNB1,0.917
THBS1,TIMP1,0.917
VEGFB,TGFB1,0.917
GSTA2,CYP2C9,0.917
CDH13,CDH1,0.917
VEGFB,PLG,0.917
CCR5,IL18,0.917
RAC1,HIF1A,0.916
PLAU,PDGFRB,0.916
ARNT,COPS5,0.916
IL2RA,JUN,0.916
CYP1A1,ALDH1A2,0.916
SST,INS,0.916
TERT,IFNG,0.916
AGT,HIF1A,0.916
ADH7,MAOB,0.916
SH2B3,SOCS3,0.916
EDN1,CFTR,0.916
VEGFA,A2M,0.916
VEGFB,SPARC,0.916
CXCR1,CCR2,0.916
HLA-DRB1,VCAM1,0.916
JAK2,CCL3,0.916
IL18RAP,IFNG,0.916
IRF5,ICAM1,0.916
JAK2,FASLG,0.916
BCAR1,RET,0.916
VEGFA,COPS5,0.916
F5,FN1,0.916
IL2RA,MAPK14,0.916
PDGFB,PIK3CA,0.916
PRKCD,IGF1,0.916
PRKCA,GNAS,0.916
FLT1,GPC1,0.916
PPP3CB,NOS1,0.916
OPRM1,CCL20,0.916
IGF2,MMP1,0.916
GNAS,PRKACB,0.916
JUN,FHIT,0.916
FGF7,FGF4,0.916
CTGF,COL1A1,0.916
SRSF5,YBX1,0.916
CCR2,SST,0.916
RELA,LPL,0.916
CCL20,IL1B,0.916
AVP,PIK3CA,0.916
CCL2,CCL3,0.916
PTGS2,PPARA,0.916
HIF1A,MMP2,0.916
LEP,MED1,0.916
MAPK8,PRKCB,0.916
RELA,APOA1,0.916
IL8,ANXA1,0.916
IL12RB1,CCL2,0.916
GSTA1,ADH1B,0.916
AR,IGF1R,0.916
IL2RA,FOS,0.916
ABL1,CCNE1,0.916
A2M,STAT3,0.916
PRKCB,RAF1,0.916
CNR2,POMC,0.916
RRM2,PKM,0.916
RAC1,GPC1,0.916
AGT,F2R,0.916
CD86,AKT1,0.916
IFNAR2,IFNG,0.916
ARNT,CP,0.916
CXCL1,JAK2,0.916
FCGR2A,PIK3CA,0.916
ACTB,PTK2,0.916
IL12RB1,IL6,0.916
IRS2,EPO,0.916
ME1,LPL,0.916
PEX6,PEX13,0.916
CTNNB1,MED1,0.916
IFNB1,FOS,0.916
HNF4A,PPARD,0.916
IL12RB1,FOS,0.916
MYO9B,AKAP13,0.916
GDNF,HRAS,0.916
ASMT,ALDH1B1,0.916
ATF3,IFNG,0.916
CXCR1,CCR5,0.916
SH2B3,EPO,0.916
GPX1,CAT,0.916
MAP3K3,IL1B,0.916
HIF1A,MED1,0.916
MYLK,TPM4,0.916
BCL2L11,RAC1,0.916
FGF2,PDGFRA,0.916
RELA,PRKCD,0.916
TP53,LIF,0.916
TALDO1,PGD,0.916
PIK3CA,HGF,0.916
IFNA5,IFNG,0.916
SOCS3,IL12B,0.916
HLA-DRB1,CD86,0.916
TLR4,DEFB4A,0.916
CXCR2,CCR5,0.915
PRKCD,CASP3,0.915
GPX3,ALOX15,0.915
F5,A2M,0.915
APOA1,LTF,0.915
MAPK8,EGR1,0.915
CHD8,AR,0.915
JAK2,PRKACB,0.915
PTGS2,IL6,0.915
MUC2,SMAD3,0.915
FAS,HSPB1,0.915
RELA,IL12B,0.915
STAT1,MAPK13,0.915
PRKCA,JAK2,0.915
ADORA2A,ADM,0.915
GCG,AGTR1,0.915
HLA-DRB1,CD74,0.915
FOXA1,APOB,0.915
SPIB,MAPK8,0.915
VEGFB,TIMP1,0.915
FGF2,SERPINE1,0.915
GCG,EDNRB,0.915
MET,FGF7,0.915
VEGFA,EFNB2,0.915
CRTC1,FOS,0.915
EGF,TIMP1,0.915
PRKACB,NOS1,0.915
LTB4R,ANXA1,0.915
HIF1A,ERBB2,0.915
MMP1,AKT1,0.915
TYK2,GZMB,0.915
F5,TIMP1,0.915
CD274,CD80,0.915
CXCL1,ANXA1,0.915
FGF19,FGF2,0.915
COMT,ADH4,0.915
ABL1,PTPRC,0.915
DMD,LAMB1,0.915
IL12RB1,CCR5,0.915
NPPA,JUND,0.915
MAOB,ADH4,0.915
GPX3,GSTA1,0.915
CDKN2A,JUN,0.915
IFNG,CDKN1B,0.915
IGF1R,FGF2,0.915
CXCR2,CCL2,0.915
JUN,MT2A,0.915
CXCL1,CCR4,0.915
IL12RB1,NFKB1,0.915
FPR2,LTB4R,0.915
PRKACB,IGF1R,0.915
YBX1,F2,0.914
BCL2,XBP1,0.914
AGT,PDYN,0.914
SRC,KRAS,0.914
IL2RA,AKT1,0.914
TAC1,LTB4R,0.914
PDX1,ATF3,0.914
CYP3A4,ALDH1A1,0.914
CEBPB,SMAD2,0.914
TAGAP,AKAP13,0.914
ARPC2,FCGR2A,0.914
GNAS,ADORA2A,0.914
ADH7,GSTT1,0.914
IL2RA,HRAS,0.914
NRG1,GPC1,0.914
ADH7,GSTA1,0.914
CASP3,TP53,0.914
PTEN,TGFB1,0.914
SOCS1,IL12B,0.914
RASSF1,DAXX,0.914
ANXA4,NFKB1,0.914
IL12A,IL1B,0.914
CYLD,RIPK2,0.914
VEGFA,HGF,0.914
IL12A,STAT6,0.914
ADH7,GSTP1,0.914
FAS,RIPK2,0.914
GRK5,EDN1,0.914
MTOR,MAP3K8,0.914
EDN1,GNAS,0.914
CEBPB,EGR1,0.914
IL1RAP,IL1RN,0.914
OCLN,PRKCB,0.914
PKM,PRDX2,0.914
PTGS1,HPGDS,0.914
POMC,ANXA1,0.914
STK11,HRAS,0.914
AGT,MED1,0.914
CYP3A4,SULT1E1,0.914
TLR4,RAC1,0.914
CNR1,CCR1,0.914
GABRG2,GABRA1,0.914
TNF,FOS,0.914
SERPINA1,SPARC,0.914
CYP2A6,ALDH1A1,0.914
JAK2,PRKCD,0.914
CYP7A1,CYP2E1,0.914
TYK2,CCL2,0.914
MLH3,PMS2,0.914
PEX10,PEX1,0.914
ERBB2,CDKN1A,0.914
GNAS,AGT,0.914
PRKCA,RELA,0.914
SSTR2,KNG1,0.914
F3,CD276,0.914
NOS1,ARG2,0.914
MMP1,MMP14,0.914
CCK,AGTR1,0.914
SRC,MMP14,0.914
GREM1,KDR,0.914
CEBPD,TGFB1,0.914
IGF2,KNG1,0.914
ADORA2A,ADCY3,0.914
IL8,STAT3,0.913
CCL2,TGFB1,0.913
MTHFR,MTRR,0.913
IL18,ICAM1,0.913
KIT,INS,0.913
CXCR2,CCR2,0.913
NOS2,IL18,0.913
RELA,STAT4,0.913
SIRT7,TP53,0.913
RDX,SLC9A1,0.913
NOTCH4,NOTCH1,0.913
KDR,INS,0.913
CDKN1A,TGFB1,0.913
JUN,CDH1,0.913
PTEN,MMP2,0.913
VEGFB,ALB,0.913
SRC,RAF1,0.913
PPARD,NR1H2,0.913
EGFR,LGALS3,0.913
JUN,LEP,0.913
TP53,HMOX1,0.913
INS,MMP2,0.913
STAT1,ALB,0.913
IL6,APOB,0.913
FGF2,CDH1,0.913
ALB,EGF,0.913
BCL2,TGFB1,0.913
GDF15,EGR1,0.913
SREBF1,AKT1,0.913
GCG,IGFBP1,0.913
TYMS,CCNA1,0.913
GCG,FOS,0.913
SNCA,APOA1,0.913
PRKACB,BCL2,0.913
KRT19,TP53,0.913
ALB,CCL2,0.913
ICAM1,IL5,0.913
IFNA1,IL6,0.913
AR,CDH1,0.913
PTGS1,CYP2C9,0.913
ETS1,ARNT,0.913
ETS1,SOCS1,0.913
INS,HMOX1,0.913
GNG7,GNAS,0.913
ETS1,SMAD3,0.913
