disease,diseaseClass,genes
Kidney Failure-Chronic,Urogenital,APOB
Carotid Artery Diseases,Nervous System ; Cardiovascular ,APOB
Aortic Valve Stenosis,Cardiovascular ,APOB
Gallbladder Neoplasms, Digestive System ,APOB
Cerebral Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,APOB
Stroke,Nervous System ; Cardiovascular ,APOB
Gallstones,Digestive System ; Pathological Conditions,APOB
Gallbladder Diseases,Digestive System ,APOB
Spina Bifida Cystica,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,APOB
Neurofibromatosis 1, Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,APOB
Abetalipoproteinemia,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,APOB
Riboflavin Deficiency,Nutritional and Metabolic ,APOB
Atherosclerosis,Cardiovascular ,APOA4
Hyperlipoproteinemia Type II,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,APOA4
Liver Neoplasms-Experimental, Digestive System ,APOA4
Coronary Disease,Cardiovascular ,APOA4
Obesity,Nutritional and Metabolic ; Pathological Conditions,APOA4
Cerebrovascular Disorders,Nervous System ; Cardiovascular ,APOA4
Depressive Disorder,Mental Disorders,APOA4
Hypertriglyceridemia,Nutritional and Metabolic ,APOA4
Arteriosclerosis,Cardiovascular ,APOA4
Myocardial Infarction,Cardiovascular ,APOA4
Hypertension,Cardiovascular ,APOA4
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,APOA4
Diabetes Complications,Endocrine System ,APOA4
Coronary Artery Disease,Cardiovascular ,APOA4
Cholelithiasis,Digestive System ,APOA4
Cholecystolithiasis,Digestive System ,APOA4
Dyslipidemias,Nutritional and Metabolic ,APOA4
Syndrome,Pathological Conditions,APOA4
Alzheimer Disease,Nervous System ; Mental Disorders,APOA4
Inflammatory Bowel Diseases,Digestive System ,APOA4
Inflammation,Pathological Conditions,APOA4
Cardiovascular Diseases,Cardiovascular ,APOA4
Nephrotic Syndrome,Urogenital,APOA4
AMYLOIDOSIS-FAMILIAL VISCERAL,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,APOA1
Adenocarcinoma,Neoplasms,APOA1
VITAMIN E-FAMILIAL ISOLATED DEFICIENCY OF,Nervous System ; Pathological Conditions,APOA1
Diabetic Cardiomyopathies,Cardiovascular ; Endocrine System ,APOA1
Drug Eruptions,Skin and Connective Tissue ; Immune System ; Substance-Related Disorders,APOA1
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,APOA1
Glomerulonephritis-Membranous,Urogenital; Immune System ,APOA1
HIV Infections,Virus ; Immune System ,APOA1
Hypertension,Cardiovascular ,APOA1
Hypoalphalipoproteinemias,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,APOA1
Lung Neoplasms, Respiratory Tract ,APOA1
Stomach Neoplasms, Digestive System ,APOA1
Hyperlipidemia-Familial Combined,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,APOA1
Albuminuria,Urogenital; Pathological Conditions,APOA1
Coronary Artery Disease,Cardiovascular ,APOA1
Coronary Disease,Cardiovascular ,APOA1
Myocardial Infarction,Cardiovascular ,APOA1
Carotid Artery Diseases,Nervous System ; Cardiovascular ,APOA1
Alzheimer Disease,Nervous System ; Mental Disorders,APOA1
Hypercholesterolemia,Nutritional and Metabolic ,APOA1
Intracranial Aneurysm,Nervous System ; Cardiovascular ,APOA1
Brain Ischemia,Nervous System ; Cardiovascular ,APOA1
Stroke,Nervous System ; Cardiovascular ,APOA1
Cerebral Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,APOA1
Cerebral Infarction,Nervous System ; Cardiovascular ,APOA1
Hyperlipidemias,Nutritional and Metabolic ,APOA1
Cardiomyopathies,Cardiovascular ,APOA1
Skin Diseases,Skin and Connective Tissue ,APOA1
Amyloidosis,Nutritional and Metabolic ,APOA1
Translocation-Genetic,Pathological Conditions,APOA1
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,APOA1
Hyperlipoproteinemias,Nutritional and Metabolic ,APOA1
Tangier Disease,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,APOA1
Cholelithiasis,Digestive System ,APOA1
Cholecystolithiasis,Digestive System ,APOA1
Multiple Sclerosis,Nervous System ; Immune System ,APOA1
Dyslipidemias,Nutritional and Metabolic ,APOA1
Syndrome,Pathological Conditions,APOA1
Metabolic Syndrome X,Nutritional and Metabolic ,APOA1
Cardiovascular Diseases,Cardiovascular ,APOA1
Schizophrenia,Mental Disorders,APOA1
Neoplasm Metastasis, Pathological Conditions,APOA1
Vascular Diseases,Cardiovascular ,APOA1
Hepatitis B,Virus ; Digestive System ,APOA1
Infection,Bacterial Infections and Mycoses,APOA1
Autoimmune Diseases,Immune System ,APOA1
Inflammation,Pathological Conditions,APOA1
Hyperuricemia,Pathological Conditions,APOA1
Atherosclerosis,Cardiovascular ,APOA1
Hypertriglyceridemia,Nutritional and Metabolic ,APOA1
Arteriosclerosis,Cardiovascular ,APOA1
Hyperlipoproteinemia Type II,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,APOA1
Hepatitis B-Chronic,Virus ; Digestive System ,APOA1
Acute Coronary Syndrome,Cardiovascular ; Pathological Conditions,APOA1
Myocardial Ischemia,Cardiovascular ,APOA1
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,APOA1
Gallstones,Digestive System ; Pathological Conditions,APOA1
Dementia,Nervous System ; Mental Disorders,APOA1
Gallbladder Diseases,Digestive System ,APOA1
Fructose Intolerance,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ALDOB
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,ALDOB
Hepatitis-Autoimmune,Digestive System ; Immune System ,ALDOB
Colitis-Ulcerative,Digestive System ,ALDOB
Colorectal Neoplasms, Digestive System ,AKR1B10
Melanoma,Neoplasms,AKR1B10
Neoplasms,Neoplasms,AKR1B10
Diabetic Nephropathies,Urogenital; Endocrine System ,AKR1B10
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,AKR1B10
Lung Neoplasms, Respiratory Tract ,AKR1B10
Carcinoma-Squamous Cell,Neoplasms,AKR1B10
Breast Neoplasms, Skin and Connective Tissue ,AKR1B10
Adenocarcinoma,Neoplasms,AKR1B10
Atherosclerosis,Cardiovascular ,AKR1B10
Barrett Esophagus,Digestive System ,AKR1B10
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,AKR1B10
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,AKR1B1
Diabetic Nephropathies,Urogenital; Endocrine System ,AKR1B1
Albuminuria,Urogenital; Pathological Conditions,AKR1B1
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,AKR1B1
Disease Progression,Pathological Conditions,AKR1B1
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,AKR1B1
Colonic Neoplasms, Digestive System ,AKR1B1
Atherosclerosis,Cardiovascular ,AKR1B1
Ischemia,Pathological Conditions,AKR1B1
Adrenal Cortex Neoplasms, Endocrine System ,AKR1B1
Hyperlipidemias,Nutritional and Metabolic ,AKR1B1
Diabetes Complications,Endocrine System ,AKR1B1
Calcinosis,Nutritional and Metabolic ,AHSG
Obesity,Nutritional and Metabolic ; Pathological Conditions,AHSG
Kidney Failure-Chronic,Urogenital,AHSG
Cardiovascular Diseases,Cardiovascular ,AHSG
Malnutrition,Nutritional and Metabolic ,AHSG
Thinness,Pathological Conditions,AHSG
Alzheimer Disease,Nervous System ; Mental Disorders,AHSG
Endometriosis,Female Urogenital,AHSG
Osteoporosis,Musculoskeletal ,AHSG
Carotid Artery Diseases,Nervous System ; Cardiovascular ,AHSG
Coronary Disease,Cardiovascular ,AHSG
Atherosclerosis,Cardiovascular ,AHSG
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,AHSG
Vascular Diseases,Cardiovascular ,AHSG
Infection,Bacterial Infections and Mycoses,AHSG
Glioblastoma,Neoplasms,AHSG
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,AHSG
Inflammation,Pathological Conditions,AHSG
Myocardial Infarction,Cardiovascular ,AHSG
Neurodegenerative Diseases,Nervous System ,AHSG
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,AHSG
Dyslipidemias,Nutritional and Metabolic ,AHSG
Fatty Liver,Digestive System ,AHSG
Stroke,Nervous System ; Cardiovascular ,AHSG
Metabolic Syndrome X,Nutritional and Metabolic ,AHSG
Kidney Diseases,Urogenital,AHSG
RENAL TUBULAR DYSGENESIS,Unclassified,AGTR1
Carcinoma-Pancreatic Ductal, Digestive System ; Endocrine System ,AGTR1
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,AGTR1
Ductus Arteriosus-Patent,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,AGTR1
Heart Failure,Cardiovascular ,AGTR1
Hypertension,Cardiovascular ,AGTR1
HYPERTENSION-ESSENTIAL,Cardiovascular ,AGTR1
Kidney Diseases,Urogenital,AGTR1
Pituitary Neoplasms, Nervous System ; Endocrine System ,AGTR1
Proteinuria,Urogenital; Pathological Conditions,AGTR1
Coronary Artery Disease,Cardiovascular ,AGTR1
Arteriosclerosis,Cardiovascular ,AGTR1
Pregnancy Complications-Cardiovascular,Female Urogenital; Cardiovascular ,AGTR1
Inflammation,Pathological Conditions,AGTR1
Metabolic Diseases,Nutritional and Metabolic ,AGTR1
Syndrome,Pathological Conditions,AGTR1
Diabetic Nephropathies,Urogenital; Endocrine System ,AGTR1
Cardiovascular Diseases,Cardiovascular ,AGTR1
Coronary Disease,Cardiovascular ,AGTR1
Hypertension-Renal,Urogenital; Cardiovascular ,AGTR1
Myocardial Infarction,Cardiovascular ,AGTR1
Venous Thrombosis,Cardiovascular ,AGTR1
Cardiac Output-Low,Cardiovascular ; Pathological Conditions,AGTR1
Myocardial Ischemia,Cardiovascular ,AGTR1
Hypercholesterolemia,Nutritional and Metabolic ,AGTR1
Connective Tissue Diseases,Skin and Connective Tissue ,AGTR1
Hypertension-Pulmonary,Respiratory Tract ,AGTR1
Carcinoma-Ductal,Neoplasms,AGTR1
Carcinoma-Lobular,Neoplasms,AGTR1
Cardiomegaly,Cardiovascular ; Pathological Conditions,AGTR1
Glucose Intolerance,Nutritional and Metabolic ,AGTR1
Hernia-Hiatal,Pathological Conditions,AGTR1
Liver Cirrhosis-Experimental,Digestive System ,AGTR1
Mammary Neoplasms-Experimental,Neoplasms,AGTR1
Stomach Neoplasms, Digestive System ,AGTR1
Breast Neoplasms, Skin and Connective Tissue ,AGTR1
Mucocutaneous Lymph Node Syndrome,Cardiovascular ; Hemic and Lymphatic ; Skin and Connective Tissue ,AGTR1
Heart Diseases,Cardiovascular ,AGTR1
Ovarian Neoplasms, Female Urogenital; Endocrine System ,AGTR1
Abortion-Spontaneous,Female Urogenital,AGTR1
Atherosclerosis,Cardiovascular ,AGTR1
Pre-Eclampsia,Female Urogenital,AGTR1
Nephrotic Syndrome,Urogenital,AGTR1
Wounds and Injuries,Wounds and Injuries,AGTR1
AIDS-Associated Nephropathy,Virus ; Urogenital; Immune System ,AGTR1
Hyperaldosteronism,Endocrine System ,AGTR1
Fibrosis,Pathological Conditions,AGTR1
Scleroderma-Systemic,Skin and Connective Tissue ,AGTR1
Kidney Failure-Chronic,Urogenital,AGTR1
Coronary Stenosis,Cardiovascular ,AGTR1
Pheochromocytoma,Neoplasms,AGTR1
Hypertrophy,Pathological Conditions,AGTR1
Cardiomyopathy-Hypertrophic,Cardiovascular ,AGTR1
Cicatrix-Hypertrophic,Pathological Conditions,AGTR1
Liver Cirrhosis,Digestive System ,AGTR1
Cerebral Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,AGTR1
Stroke,Nervous System ; Cardiovascular ,AGTR1
Glomerulonephritis-IGA,Urogenital; Immune System ,AGTR1
Brain Ischemia,Nervous System ; Cardiovascular ,AGTR1
Hypotension-Orthostatic,Nervous System ; Cardiovascular ,AGTR1
Hypertension-Pregnancy-Induced,Female Urogenital; Cardiovascular ,AGTR1
Aortic Aneurysm-Abdominal,Cardiovascular ,AGTR1
Tachycardia,Cardiovascular ; Pathological Conditions,AGTR1
Postural Orthostatic Tachycardia Syndrome,Nervous System ,AGTR1
Adrenal Gland Neoplasms, Endocrine System ,AGTR1
Adrenal Rest Tumor,Neoplasms,AGTR1
RENAL TUBULAR DYSGENESIS,Unclassified,AGT
Albuminuria,Urogenital; Pathological Conditions,AGT
Alkalosis,Nutritional and Metabolic ,AGT
Anemia,Hemic and Lymphatic ,AGT
Aneurysm-Dissecting,Cardiovascular ,AGT
Anuria,Urogenital,AGT
Aortic Aneurysm-Abdominal,Cardiovascular ,AGT
Arrhythmias-Cardiac,Cardiovascular ; Pathological Conditions,AGT
Bradycardia,Cardiovascular ; Pathological Conditions,AGT
Cardiomegaly,Cardiovascular ; Pathological Conditions,AGT
Catalepsy,Nervous System ; Pathological Conditions,AGT
Death-Sudden,Pathological Conditions,AGT
Diabetes Mellitus-Experimental,Nutritional and Metabolic ; Endocrine System ,AGT
Diabetic Nephropathies,Urogenital; Endocrine System ,AGT
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,AGT
Fibrosis,Pathological Conditions,AGT
Glomerulonephritis,Urogenital,AGT
Glomerulonephritis-IGA,Urogenital; Immune System ,AGT
Glomerulosclerosis-Focal Segmental,Urogenital,AGT
Heart Failure,Cardiovascular ,AGT
Hernia-Hiatal,Pathological Conditions,AGT
Hyperalgesia,Nervous System ; Pathological Conditions,AGT
Hyperemia,Cardiovascular ,AGT
Hypertension,Cardiovascular ,AGT
HYPERTENSION-ESSENTIAL,Cardiovascular ,AGT
Hypertension-Malignant,Cardiovascular ,AGT
Hypertrophy,Pathological Conditions,AGT
Hypertrophy-Left Ventricular,Cardiovascular ; Pathological Conditions,AGT
Hypokalemia,Nutritional and Metabolic ,AGT
Hypotension,Cardiovascular ,AGT
Inflammation,Pathological Conditions,AGT
Kidney Diseases,Urogenital,AGT
Liver Cirrhosis,Digestive System ,AGT
Liver Cirrhosis-Experimental,Digestive System ,AGT
Myocardial Infarction,Cardiovascular ,AGT
Myocardial Reperfusion Injury,Cardiovascular ; Pathological Conditions,AGT
Necrosis,Pathological Conditions,AGT
Nephrosis,Urogenital,AGT
Overdose,Substance-Related Disorders,AGT
Pre-Eclampsia,Female Urogenital,AGT
Proteinuria,Urogenital; Pathological Conditions,AGT
Renal Insufficiency,Urogenital,AGT
Retinopathy of Prematurity,Eye ; Congenital-Hereditary-and Neonatal  and Abnormalities,AGT
Seizures,Nervous System ; Pathological Conditions,AGT
Kidney Failure-Chronic,Urogenital,AGT
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,AGT
Disease Progression,Pathological Conditions,AGT
Coronary Artery Disease,Cardiovascular ,AGT
Arteriosclerosis,Cardiovascular ,AGT
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,AGT
Obesity,Nutritional and Metabolic ; Pathological Conditions,AGT
Abruptio Placentae,Female Urogenital,AGT
Cardiomyopathy-Hypertrophic,Cardiovascular ,AGT
Coronary Disease,Cardiovascular ,AGT
Thrombophilia,Hemic and Lymphatic ,AGT
Stroke,Nervous System ; Cardiovascular ,AGT
Anemia-Sickle Cell,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,AGT
Recurrence,Pathological Conditions,AGT
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,AGT
Myocardial Ischemia,Cardiovascular ,AGT
Pregnancy Complications-Cardiovascular,Female Urogenital; Cardiovascular ,AGT
Insulin Resistance,Nutritional and Metabolic ,AGT
Bipolar Disorder,Mental Disorders,AGT
Angina-Unstable,Cardiovascular ; Pathological Conditions,AGT
Cardiovascular Diseases,Cardiovascular ,AGT
Coronary Thrombosis,Cardiovascular ,AGT
Carotid Artery Diseases,Nervous System ; Cardiovascular ,AGT
Hypertension-Renal,Urogenital; Cardiovascular ,AGT
Dementia-Vascular,Nervous System ; Cardiovascular ; Mental Disorders,AGT
Carcinoma-Squamous Cell,Neoplasms,AGT
Mouth Neoplasms, Stomatognathic ,AGT
Stomach Neoplasms, Digestive System ,AGT
Neoplasms,Neoplasms,AGT
Multiple Sclerosis,Nervous System ; Immune System ,AGT
Atrial Fibrillation,Cardiovascular ; Pathological Conditions,AGT
Heart Diseases,Cardiovascular ,AGT
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,AGT
Atherosclerosis,Cardiovascular ,AGT
Nephrotic Syndrome,Urogenital,AGT
Wounds and Injuries,Wounds and Injuries,AGT
Hyperlipoproteinemia Type II,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,AGT
Hypercholesterolemia,Nutritional and Metabolic ,AGT
Hepatitis B-Chronic,Virus ; Digestive System ,AGT
Hypertension-Pulmonary,Respiratory Tract ,AGT
Venous Thrombosis,Cardiovascular ,AGT
Idiopathic Pulmonary Fibrosis,Respiratory Tract ,AGT
Tachycardia-Ventricular,Cardiovascular ; Pathological Conditions,AGT
Purpura,Hemic and Lymphatic ; Pathological Conditions,AGT
Hypotension-Orthostatic,Nervous System ; Cardiovascular ,AGT
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,AGT
Cerebral Infarction,Nervous System ; Cardiovascular ,AGT
Hypertension-Pregnancy-Induced,Female Urogenital; Cardiovascular ,AGT
Infarction,Pathological Conditions,AGT
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,AGER
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,AGER
Carcinoma-Non-Small-Cell Lung, Respiratory Tract ,AGER
Lung Neoplasms, Respiratory Tract ,AGER
Skin Diseases,Skin and Connective Tissue ,AGER
Psoriasis,Skin and Connective Tissue ,AGER
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,AGER
Diabetic Nephropathies,Urogenital; Endocrine System ,AGER
Proteinuria,Urogenital; Pathological Conditions,AGER
Albuminuria,Urogenital; Pathological Conditions,AGER
Cardiovascular Diseases,Cardiovascular ,AGER
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,AGER
Disease Progression,Pathological Conditions,AGER
Brain Ischemia,Nervous System ; Cardiovascular ,AGER
Myocardial Infarction,Cardiovascular ,AGER
Atherosclerosis,Cardiovascular ,AGER
Lung Diseases,Respiratory Tract ,AGER
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,AGER
Alzheimer Disease,Nervous System ; Mental Disorders,AGER
Carcinoma-Squamous Cell,Neoplasms,AGER
Carcinoma,Neoplasms,AGER
Neoplasm Metastasis, Pathological Conditions,AGER
Prostatic Neoplasms, Male Urogenital ,AGER
Colorectal Neoplasms, Digestive System ,AGER
Breast Neoplasms, Skin and Connective Tissue ,AGER
Adenocarcinoma,Neoplasms,AGER
Pancreatic Neoplasms, Digestive System ; Endocrine System ,AGER
Melanoma,Neoplasms,AGER
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,AGER
Inflammation,Pathological Conditions,AGER
Coronary Disease,Cardiovascular ,AGER
Death,Pathological Conditions,AGER
Coronary Artery Disease,Cardiovascular ,AGER
Osteoarthritis,Musculoskeletal ,AGER
Glucose Intolerance,Nutritional and Metabolic ,AGER
Sjogren's Syndrome,Musculoskeletal ; Stomatognathic ; Eye ; Skin and Connective Tissue ; Immune System ,AGER
Fibrosis,Pathological Conditions,AGER
Tuberculosis,Bacterial Infections and Mycoses,AGER
Diabetic Neuropathies,Nervous System ; Endocrine System ,AGER
Sarcoidosis,Hemic and Lymphatic ,AGER
Myocardial Ischemia,Cardiovascular ,AGER
Polymyositis,Musculoskeletal ; Nervous System ,AGER
Dermatomyositis,Musculoskeletal ; Nervous System ; Skin and Connective Tissue ,AGER
Idiopathic Pulmonary Fibrosis,Respiratory Tract ,AGER
Rhabdomyosarcoma,Neoplasms,AGER
Chondrosarcoma,Neoplasms,AGER
Neuronal Ceroid-Lipofuscinoses,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,AGER
Amyloidosis,Nutritional and Metabolic ,AGER
Stroke,Nervous System ; Cardiovascular ,AGER
Dementia-Vascular,Nervous System ; Cardiovascular ; Mental Disorders,AGER
Kidney Diseases,Urogenital,AGER
Diabetes Complications,Endocrine System ,AGER
Diabetic Ketoacidosis,Nutritional and Metabolic ; Endocrine System ,AGER
Diabetes Mellitus-Experimental,Nutritional and Metabolic ; Endocrine System ,ADRB3
Heart Failure,Cardiovascular ,ADRB3
Hyperlipidemias,Nutritional and Metabolic ,ADRB3
Hypertrophy-Left Ventricular,Cardiovascular ; Pathological Conditions,ADRB3
Obesity,Nutritional and Metabolic ; Pathological Conditions,ADRB3
Insulin Resistance,Nutritional and Metabolic ,ADRB3
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ADRB3
Endometrial Neoplasms, Female Urogenital,ADRB3
Weight Gain,Pathological Conditions,ADRB3
Glucose Intolerance,Nutritional and Metabolic ,ADRB3
Diabetes Complications,Endocrine System ,ADRB3
Hyperglycemia,Nutritional and Metabolic ,ADRB3
Coronary Disease,Cardiovascular ,ADRB3
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,ADRB3
Hypertension,Cardiovascular ,ADRB3
Hyperinsulinism,Nutritional and Metabolic ,ADRB3
Colorectal Neoplasms, Digestive System ,ADRB3
Colonic Neoplasms, Digestive System ,ADRB3
Inflammation,Pathological Conditions,ADRB3
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,ADRB3
Pre-Eclampsia,Female Urogenital,ADRB3
Coronary Artery Disease,Cardiovascular ,ADRB3
Chorioamnionitis,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities,ADRB3
Gallstones,Digestive System ; Pathological Conditions,ADRB3
Asthma,Respiratory Tract ; Immune System ,ADRB2
Autistic Disorder,Mental Disorders,ADRB2
Hyperlipidemias,Nutritional and Metabolic ,ADRB2
Hypokalemia,Nutritional and Metabolic ,ADRB2
Lung Diseases,Respiratory Tract ,ADRB2
Myocardial Ischemia,Cardiovascular ,ADRB2
Nervous System Diseases,Nervous System ,ADRB2
Obesity,Nutritional and Metabolic ; Pathological Conditions,ADRB2
Peripheral Nervous System Diseases,Nervous System ,ADRB2
Prostatic Neoplasms, Male Urogenital ,ADRB2
Tremor,Nervous System ; Pathological Conditions,ADRB2
Heart Failure,Cardiovascular ,ADRB2
Cardiomyopathy-Dilated,Cardiovascular ,ADRB2
Disease Progression,Pathological Conditions,ADRB2
Cystitis-Interstitial,Urogenital,ADRB2
Weight Gain,Pathological Conditions,ADRB2
Obesity-Morbid,Nutritional and Metabolic ; Pathological Conditions,ADRB2
Hypertension,Cardiovascular ,ADRB2
Multiple Sclerosis,Nervous System ; Immune System ,ADRB2
Metabolic Syndrome X,Nutritional and Metabolic ,ADRB2
Bronchial Hyperreactivity,Respiratory Tract ,ADRB2
Fatty Liver,Digestive System ,ADRB2
Hypertriglyceridemia,Nutritional and Metabolic ,ADRB2
Cardiovascular Diseases,Cardiovascular ,ADRB2
Breast Neoplasms, Skin and Connective Tissue ,ADRB2
Colorectal Neoplasms, Digestive System ,ADRB2
Insulin Resistance,Nutritional and Metabolic ,ADRB2
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ADRB2
Helminthiasis,Parasitic ,ADRB2
Hyperlipoproteinemias,Nutritional and Metabolic ,ADRB2
Attention Deficit Disorder with Hyperactivity,Mental Disorders,ADRB2
Limb Deformities-Congenital,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,ADRB2
Inflammation,Pathological Conditions,ADRB2
Death-Sudden-Cardiac,Cardiovascular ; Pathological Conditions,ADRB2
Cerebral Palsy,Nervous System ,ADRB2
Premature Birth,Female Urogenital,ADRB2
Infant-Premature-Diseases,Congenital-Hereditary-and Neonatal  and Abnormalities,ADRB2
Cardiac Output-Low,Cardiovascular ; Pathological Conditions,ADRB2
Hypotension,Cardiovascular ,ADRB2
Alzheimer Disease,Nervous System ; Mental Disorders,ADRB2
Adenocarcinoma,Neoplasms,ADRB2
Infection,Bacterial Infections and Mycoses,ADRB2
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,ADRB2
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,ADRB2
Myocardial Infarction,Cardiovascular ,ADRB2
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,ADRB2
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,ADRB2
Cystic Fibrosis,Digestive System ; Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,ADRB2
Venous Thromboembolism,Cardiovascular ,ADRB2
Pre-Eclampsia,Female Urogenital,ADRB2
Glaucoma-Open-Angle,Eye ,ADRB2
Hypertrophy-Left Ventricular,Cardiovascular ; Pathological Conditions,ADRB2
Graves Disease,Eye ; Endocrine System ; Immune System ,ADRB2
Stroke,Nervous System ; Cardiovascular ,ADRB2
Urticaria,Skin and Connective Tissue ; Immune System ,ADRB2
Subarachnoid Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,ADRB2
Hypoglycemia,Nutritional and Metabolic ,ADRB2
Tachycardia,Cardiovascular ; Pathological Conditions,ADRB2
Temporomandibular Joint Disorders,Musculoskeletal ; Stomatognathic ,ADRB2
Postural Orthostatic Tachycardia Syndrome,Nervous System ,ADRB2
Status Asthmaticus,Respiratory Tract ; Immune System ,ADRB2
Autistic Disorder,Mental Disorders,ADM
Hyperalgesia,Nervous System ; Pathological Conditions,ADM
Liver Cirrhosis-Experimental,Digestive System ,ADM
Pain,Nervous System ; Pathological Conditions; Psychological Phenomena and Processes,ADM
Sepsis,Bacterial Infections and Mycoses; Pathological Conditions,ADM
Diabetic Nephropathies,Urogenital; Endocrine System ,ADM
Renal Insufficiency,Urogenital,ADM
Hypertension-Renal,Urogenital; Cardiovascular ,ADM
Proteinuria,Urogenital; Pathological Conditions,ADM
HYDROPS FETALIS-NONIMMUNE,Female Urogenital; Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities; Immune System ; Pathological Conditions,ADM
Schizophrenia,Mental Disorders,ADM
Carcinoma-Squamous Cell,Neoplasms,ADM
Carcinoma,Neoplasms,ADM
Neoplasm Metastasis, Pathological Conditions,ADM
Prostatic Neoplasms, Male Urogenital ,ADM
Breast Neoplasms, Skin and Connective Tissue ,ADM
Pancreatic Neoplasms, Digestive System ; Endocrine System ,ADM
Carcinoma-Hepatocellular, Digestive System ,ADM
Infection,Bacterial Infections and Mycoses,ADM
Anoxia,Pathological Conditions,ADM
Mucocutaneous Lymph Node Syndrome,Cardiovascular ; Hemic and Lymphatic ; Skin and Connective Tissue ,ADM
Inflammation,Pathological Conditions,ADM
Hypertension,Cardiovascular ,ADM
Cardiovascular Diseases,Cardiovascular ,ADM
Ovarian Neoplasms, Female Urogenital; Endocrine System ,ADM
Myocardial Infarction,Cardiovascular ,ADM
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,ADM
Hyperparathyroidism-Primary,Endocrine System ,ADM
Pre-Eclampsia,Female Urogenital,ADM
Sclerosis,Pathological Conditions,ADM
Ischemia,Pathological Conditions,ADM
Reperfusion Injury,Cardiovascular ; Pathological Conditions,ADM
Cardiomegaly,Cardiovascular ; Pathological Conditions,ADM
Heart Failure,Cardiovascular ,ADM
