"geneName","diseaseName"
"C21orf33","Crohn Disease"
"ZGPAT","Crohn Disease"
"GPR65","Crohn Disease"
"RSPO3","Crohn Disease"
"RNASET2","Crohn Disease"
"SOCS1","Crohn Disease"
"IL18RAP","Crohn Disease"
"KSR1","Crohn Disease"
"PER3","Crohn Disease"
"BSN","Crohn Disease"
"PHOX2B","Crohn Disease"
"SKAP2","Crohn Disease"
"MAGI1","Crohn Disease"
"ADIPOQ","Crohn Disease"
"CLCA2","Crohn Disease"
"FCHSD2","Crohn Disease"
"TNFSF15","Crohn Disease"
"NR1H4","Crohn Disease"
"CSF2","Inflammatory disease of mucous membrane"
"CSF3","Inflammatory disease of mucous membrane"
"IL1B","Inflammatory disease of mucous membrane"
"IL1RN","Inflammatory disease of mucous membrane"
"IL10","Inflammatory disease of mucous membrane"
"MTHFR","Inflammatory disease of mucous membrane"
"TFF3","Inflammatory disease of mucous membrane"
"TGFA","Inflammatory disease of mucous membrane"
"CSF2","Gastrointestinal Hemorrhage"
"LTF","Gastrointestinal Hemorrhage"
"AVP","Gastrointestinal Hemorrhage"
"SPATA5","Irritable Bowel Syndrome"
"IL10","Irritable Bowel Syndrome"
"EDN1","Peptic Ulcer"
"GAST","Peptic Ulcer"
"IL1B","Peptic Ulcer"
"ABO","Duodenal Ulcer"
"NOS2","Duodenal Ulcer"
"PLA2G4A","Duodenal Ulcer"
"PTGS2","Duodenal Ulcer"
"TGFB1","Duodenal Ulcer"
"PSCA","Duodenal Ulcer"
"ADM","Gastric ulcer"
"EGF","Gastric ulcer"
"EPO","Gastric ulcer"
"NRG1","Gastric ulcer"
"IAPP","Gastric ulcer"
"IL1B","Gastric ulcer"
"LEP","Gastric ulcer"
"MMP9","Gastric ulcer"
"NOS2","Gastric ulcer"
"NOS3","Gastric ulcer"
"GHRL","Gastric ulcer"
"PTGS1","Gastric ulcer"
"PTGS2","Gastric ulcer"
"TNF","Gastric ulcer"
"VEGFA","Gastric ulcer"
"VGF","Gastric ulcer"
"CAT","Gastric ulcer"
"CCK","Gastric ulcer"
"SLC6A14","Intestinal Obstruction"
"SLC26A9","Intestinal Obstruction"
"SLC9A3","Intestinal Obstruction"
"SLC46A1","Malabsorption Syndrome"
"UQCRC2P1","Celiac Disease"
"CELIAC6","Celiac Disease"
"CELIAC8","Celiac Disease"
"CELIAC9","Celiac Disease"
"CELIAC10","Celiac Disease"
"CELIAC11","Celiac Disease"
"CELIAC12","Celiac Disease"
"CELIAC13","Celiac Disease"
"SH2B3","Celiac Disease"
"CELIAC7","Celiac Disease"
"LOC101927156","Celiac Disease"
"LOC101927840","Celiac Disease"
"IL12A-AS1","Celiac Disease"
"DLEU1","Celiac Disease"
"TAGAP","Celiac Disease"
"CCR4","Celiac Disease"
"CTLA4","Celiac Disease"
"YDJC","Celiac Disease"
"PUS10","Celiac Disease"
"NKAIN2","Celiac Disease"
"ETS1","Celiac Disease"
"FRMD4B","Celiac Disease"
"ICOSLG","Celiac Disease"
"C17orf78","Celiac Disease"
"ICOS","Celiac Disease"
"ACACA","Celiac Disease"
"HLA-DPB1","Celiac Disease"
"HLA-DQA1","Celiac Disease"
"HLA-DQB1","Celiac Disease"
"CELIAC2","Celiac Disease"
"CELIAC5","Celiac Disease"
"IL15","Celiac Disease"
"THEMIS","Celiac Disease"
"LPP","Celiac Disease"
"MYO9B","Celiac Disease"
"PPP1R12B","Celiac Disease"
"NFIA","Celiac Disease"
"PLEK","Celiac Disease"
"MYNN","Celiac Disease"
"ZMIZ1","Celiac Disease"
"ARHGAP31","Celiac Disease"
"PTPN2","Celiac Disease"
"IL21","Celiac Disease"
"BACH2","Celiac Disease"
"ATXN2","Celiac Disease"
"TGM2","Celiac Disease"
"WNT3","Celiac Disease"
"MMEL1","Celiac Disease"
"KIAA1109","Celiac Disease"
"RUNX3","Celiac Disease"
"TNFRSF14","Celiac Disease"
"IL18R1","Celiac Disease"
"CD247","Celiac Disease"
"CD80","Celiac Disease"
"ELMO1","Celiac Disease"
"PON1","Hemorrhoids"
"HMOX1","Gastroparesis"
"CCR1","Liver diseases"
"LTB4R","Liver diseases"
"COL3A1","Liver diseases"
"CSF3","Liver diseases"
"CYP1A2","Liver diseases"
"NQO1","Liver diseases"
"AFP","Liver diseases"
"AHR","Liver diseases"
"ENO3","Liver diseases"
"ALAD","Liver diseases"
"DDAH1","Liver diseases"
"AMACR","Liver diseases"
"ALOX5AP","Liver diseases"
"ALPL","Liver diseases"
"GABRR2","Liver diseases"
"GGT1","Liver diseases"
"LAT","Liver diseases"
"HPGDS","Liver diseases"
"GRK5","Liver diseases"
"GPT","Liver diseases"
"HK3","Liver diseases"
"HMOX1","Liver diseases"
"HSPA1A","Liver diseases"
"IL1RAP","Liver diseases"
"IL9R","Liver diseases"
"IL11","Liver diseases"
"ITGB6","Liver diseases"
"JUP","Liver diseases"
"MMP9","Liver diseases"
"MTHFR","Liver diseases"
"NFKB1","Liver diseases"
"NOS2","Liver diseases"
"NPC1","Liver diseases"
"SERPINA1","Liver diseases"
"ATP7B","Liver diseases"
"TREM1","Liver diseases"
"ASAH2","Liver diseases"
"RAC1","Liver diseases"
"ACTA2","Liver diseases"
"BCL2L1","Liver diseases"
"RNASE6","Liver diseases"
"SC5D","Liver diseases"
"SCO1","Liver diseases"
"CCL2","Liver diseases"
"SRSF5","Liver diseases"
"ST8SIA1","Liver diseases"
"SOD1","Liver diseases"
"SULT1E1","Liver diseases"
"TGM1","Liver diseases"
"TIMP3","Liver diseases"
"TM4SF4","Liver diseases"
"TNF","Liver diseases"
"CCR2","Liver diseases"
"TXN","Liver diseases"
"TYROBP","Liver diseases"
"IL1R2","Liver diseases"
"CRISPLD2","Liver diseases"
"SOCS1","Liver diseases"
"NRP1","Liver diseases"
"CCK","Liver diseases"
"SOCS3","Liver diseases"
"CD3D","Liver diseases"
"CD86","Liver diseases"
"CYP7B1","Liver diseases"
"GNG8","Liver diseases"
"CD79B","Liver diseases"
"NR1H4","Liver diseases"
"F2","Liver Failure"
"ACADM","Liver Failure"
"ORM1","Liver Failure"
"VEGFA","Liver Failure"
"GABRA1","Hepatic Encephalopathy"
"GABRB1","Hepatic Encephalopathy"
"GABRG2","Hepatic Encephalopathy"
"GC","Hepatic Encephalopathy"
"GLUL","Hepatic Encephalopathy"
"LTA","Hepatic Encephalopathy"
"MAOA","Hepatic Encephalopathy"
"MAOB","Hepatic Encephalopathy"
"NOS1","Hepatic Encephalopathy"
"OPRM1","Hepatic Encephalopathy"
"PRKDC","Hepatic Encephalopathy"
"TSPO","Hepatic Encephalopathy"
"TNF","Hepatic Encephalopathy"
"OCLN","Hepatic Veno-Occlusive Disease"
"CSF3","Hepatic Veno-Occlusive Disease"
"PARP1","Hepatitis"
"ALB","Hepatitis"
"F2R","Hepatitis"
"GABRG3","Hepatitis"
"GNMT","Hepatitis"
"GZMB","Hepatitis"
"HMOX1","Hepatitis"
"IFNG","Hepatitis"
"FASLG","Hepatitis"
"INS","Hepatitis"
"LOC400499","Hepatitis"
"CASC15","Hepatitis"
"ENPP2","Hepatitis"
"ATP7B","Hepatitis"
"SPARC","Hepatitis"
"TF","Hepatitis"
"SYT16","Hepatitis"
"CAT","Hepatitis"
"NAV2","Hepatitis"
"KEAP1","Hepatitis"
"COX17","Hepatitis, Chronic"
"CP","Hepatitis, Chronic"
"COMMD1","Hepatitis, Chronic"
"GNMT","Hepatitis, Chronic"
"GPX1","Hepatitis, Chronic"
"HGF","Hepatitis, Chronic"
"IFNA2","Hepatitis, Chronic"
"KRT7","Hepatitis, Chronic"
"KRT19","Hepatitis, Chronic"
"SMAD2","Hepatitis, Chronic"
"MET","Hepatitis, Chronic"
"MKI67","Hepatitis, Chronic"
"MT1A","Hepatitis, Chronic"
"ATOX1","Hepatitis, Chronic"
"ATP7A","Hepatitis, Chronic"
"ACTA2","Hepatitis, Chronic"
"SOD1","Hepatitis, Chronic"
"STAT3","Hepatitis, Chronic"
"TGFB1","Hepatitis, Chronic"
"CASP3","Hepatitis, Chronic"
"CAT","Hepatitis, Chronic"
"CCS","Hepatitis, Chronic"
"EHMT2","Hepatitis B, Chronic"
"CTGF","Hepatitis B, Chronic"
"HLA-C","Hepatitis B, Chronic"
"HLA-DOA","Hepatitis B, Chronic"
"HLA-DPA1","Hepatitis B, Chronic"
"HLA-DPB1","Hepatitis B, Chronic"
"HLA-DQA2","Hepatitis B, Chronic"
"HLA-DQB2","Hepatitis B, Chronic"
"HP","Hepatitis B, Chronic"
"IFNA2","Hepatitis B, Chronic"
"NOTCH4","Hepatitis B, Chronic"
"CFB","Hepatitis B, Chronic"
"TCF19","Hepatitis B, Chronic"
"UBE2L3","Hepatitis B, Chronic"
"CD40","Hepatitis B, Chronic"
"IFNL4","Hepatitis C, Chronic"
"HP","Hepatitis C, Chronic"
"IFNA2","Hepatitis C, Chronic"
"ITGB6","Hepatitis C, Chronic"
"ITPA","Hepatitis C, Chronic"
"DEPDC5","Hepatitis C, Chronic"
"CYP2A6","Hepatitis B"
"GRIN2A","Hepatitis B"
"HLA-DPA1","Hepatitis B"
"HLA-DPB1","Hepatitis B"
"HP","Hepatitis B"
"IFNA1","Hepatitis B"
"IFNA2","Hepatitis B"
"IFNAR2","Hepatitis B"
"IFNB1","Hepatitis B"
"IFNG","Hepatitis B"
"IFNGR1","Hepatitis B"
"IL10RB","Hepatitis B"
"LOX","Hepatitis B"
"LOXL2","Hepatitis B"
"SLC10A1","Hepatitis B"
"UBE2L3","Hepatitis B"
"CCR5","Hepatitis C"
"CYP2A6","Hepatitis C"
"CYP3A4","Hepatitis C"
"DDX58","Hepatitis C"
"IFNL3","Hepatitis C"
"HFE","Hepatitis C"
"IFNA2","Hepatitis C"
"IFNG","Hepatitis C"
"LOX","Hepatitis C"
"LOXL2","Hepatitis C"
"LPL","Hepatitis C"
"OPRM1","Hepatitis C"
"PTPRC","Hepatitis C"
"SCARB1","Hepatitis C"
"CD81","Hepatitis C"
"CP","Hepatolenticular Degeneration"
"AHCY","Hepatolenticular Degeneration"
"A2M","Hepatolenticular Degeneration"
"ANXA5","Hepatolenticular Degeneration"
"APOE","Hepatolenticular Degeneration"
"IL6","Hepatolenticular Degeneration"
"CXCL8","Hepatolenticular Degeneration"
"IL10","Hepatolenticular Degeneration"
"LOX","Hepatolenticular Degeneration"
"LOXL2","Hepatolenticular Degeneration"
"ASMT","Hepatolenticular Degeneration"
"NDUFB7","Hepatolenticular Degeneration"
"ATP7B","Hepatolenticular Degeneration"
"SDHAF2","Hepatolenticular Degeneration"
"PPP3CA","Hepatolenticular Degeneration"
"PPP3CB","Hepatolenticular Degeneration"
"PRNP","Hepatolenticular Degeneration"
"ANKS1B","Hepatolenticular Degeneration"
"HAMP","Hepatolenticular Degeneration"
"BHMT","Hepatolenticular Degeneration"
"SNCA","Hepatolenticular Degeneration"
"TIMP1","Hepatolenticular Degeneration"
"TNF","Hepatolenticular Degeneration"
"CAMK2A","Hepatolenticular Degeneration"
"EDN1","Hepatorenal Syndrome"
"HMOX1","Hepatorenal Syndrome"
"NOS3","Hypertension, Portal"
"AVP","Hypertension, Portal"
"VEGFA","Hypertension, Portal"
"MIR764","Liver Cirrhosis"
"CHRM3","Liver Cirrhosis"
"CYP2R1","Liver Cirrhosis"
"CNR1","Liver Cirrhosis"
"CNR2","Liver Cirrhosis"
"COL1A1","Liver Cirrhosis"
"COL3A1","Liver Cirrhosis"
"ADRA1A","Liver Cirrhosis"
"CTGF","Liver Cirrhosis"
"CTNNB1","Liver Cirrhosis"
"COMMD1","Liver Cirrhosis"
"CYP27A1","Liver Cirrhosis"
"DHCR7","Liver Cirrhosis"
"AGT","Liver Cirrhosis"
"ANKS6","Liver Cirrhosis"
"ALB","Liver Cirrhosis"
"F2","Liver Cirrhosis"
"F2R","Liver Cirrhosis"
"F3","Liver Cirrhosis"
"F5","Liver Cirrhosis"
"FGF2","Liver Cirrhosis"
"FGF7","Liver Cirrhosis"
"FGFR2","Liver Cirrhosis"
"FLT1","Liver Cirrhosis"
"GC","Liver Cirrhosis"
"HGF","Liver Cirrhosis"
"HSD11B2","Liver Cirrhosis"
"IFNA1","Liver Cirrhosis"
"IL6","Liver Cirrhosis"
"JUND","Liver Cirrhosis"
"KRT8","Liver Cirrhosis"
"KRT18","Liver Cirrhosis"
"ARNT","Liver Cirrhosis"
"MIR215","Liver Cirrhosis"
"MIR29C","Liver Cirrhosis"
"MIR30B","Liver Cirrhosis"
"MIR30C2","Liver Cirrhosis"
"SMAD3","Liver Cirrhosis"
"MMP2","Liver Cirrhosis"
"MIR302C","Liver Cirrhosis"
"MIR376C","Liver Cirrhosis"
"NFE2L2","Liver Cirrhosis"
"NPC1","Liver Cirrhosis"
"NPPA","Liver Cirrhosis"
"ABCB4","Liver Cirrhosis"
"SERPINA1","Liver Cirrhosis"
"PLAU","Liver Cirrhosis"
"ATP7B","Liver Cirrhosis"
"TRPM7","Liver Cirrhosis"
"SLC30A10","Liver Cirrhosis"
"MIR503","Liver Cirrhosis"
"ACTA2","Liver Cirrhosis"
"REN","Liver Cirrhosis"
"CCL2","Liver Cirrhosis"
"SPARC","Liver Cirrhosis"
"SPP1","Liver Cirrhosis"
"STAT1","Liver Cirrhosis"
"TGFB1","Liver Cirrhosis"
"THBS1","Liver Cirrhosis"
"TNFRSF1B","Liver Cirrhosis"
"VEGFA","Liver Cirrhosis"
"SERPINH1","Liver Cirrhosis"
"TMEM67","Liver Cirrhosis"
"CD14","Liver Cirrhosis"
"COL3A1","Liver Cirrhosis, Alcoholic"
"CYP2E1","Liver Cirrhosis, Alcoholic"
"IL6","Liver Cirrhosis, Alcoholic"
"SMAD3","Liver Cirrhosis, Alcoholic"
"MMP2","Liver Cirrhosis, Alcoholic"
"MPO","Liver Cirrhosis, Alcoholic"
"TM6SF2","Liver Cirrhosis, Alcoholic"
"BCL2","Liver Cirrhosis, Alcoholic"
"RELA","Liver Cirrhosis, Alcoholic"
"SOD2","Liver Cirrhosis, Alcoholic"
"TGFB1","Liver Cirrhosis, Alcoholic"
"TIMP1","Liver Cirrhosis, Alcoholic"
"TNF","Liver Cirrhosis, Alcoholic"
"MBOAT7","Liver Cirrhosis, Alcoholic"
"PNPLA3","Liver Cirrhosis, Alcoholic"
"CAT","Liver Cirrhosis, Alcoholic"
"HMBS","Acute intermittent porphyria"
"CFTR","Cystic Fibrosis"
"CLCA4","Cystic Fibrosis"
"DCTN4","Cystic Fibrosis"
"SCNN1A","Cystic Fibrosis"
"SCNN1B","Cystic Fibrosis"
"SCNN1G","Cystic Fibrosis"
"STX1A","Cystic Fibrosis"
"TGFB1","Cystic Fibrosis"
"TNFRSF1A","Cystic Fibrosis"
"GSK3B","Peritonitis"
"IFNG","Peritonitis"
"C5","Peritonitis"
